Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Meth__cg07059875__TACSTD1	0.13204	0.091491	0.13351	0.092857	0.64855	0.18688	0.069936	0.15262	0.099898	0.11085	0.12433	0.074836	0.10521	0.14055	0.15622	0.4566	0.065335	0.11767	0.11778	0.088988	0.53084	0.10998	0.16799	0.12142	0.38393	0.059336	0.071983	0.15711	0.10564	0.11072	0.15168	0.10299
Meth__cg14782678__TMEM102	0.61673	0.1867	0.8142	0.22923	0.88376	0.61119	0.049895	0.58668	0.091939	0.8618	0.42992	0.66776	0.66103	0.36567	0.076364	0.72101	0.10442	0.091687	0.43366	0.36128	0.88568	0.44178	0.098622	0.27302	0.35856	0.20345	0.14784	0.15819	0.85484	0.068404	0.37525	0.065751
Meth__cg07818646__FLJ11712	0.02788	0.41041	0.037417	0.036295	0.077322	0.033181	0.015987	0.035387	0.037666	0.03229	0.14957	0.044208	0.047935	0.031086	0.05234	0.030007	0.02528	0.040097	0.03797	0.02897	0.15347	0.040121	0.068501	0.10733	0.034856	0.034223	0.046584	0.1053	0.022799	0.076823	0.054062	0.061178
Meth__cg04380513__ST8SIA4	0.085394	0.064055	0.16334	0.051787	0.82358	0.13251	0.78353	0.083188	0.54081	0.193	0.80181	0.35463	0.85949	0.068744	0.18922	0.066444	0.034411	0.1538	0.06856	0.26421	0.12096	0.82151	0.82979	0.07677	0.053554	0.064144	0.47339	0.79622	0.11014	0.10086	0.13277	0.53336
Meth__cg19740287__MOSPD2	0.3725	0.042788	0.03702	0.039861	0.039583	0.046174	0.044521	0.057416	0.039902	0.29744	0.26435	0.24224	0.032598	0.038206	0.15287	0.40907	0.034805	0.038467	0.2302	0.38574	0.083881	0.34543	0.11613	0.07017	0.39066	0.037925	0.028505	0.042653	0.080052	0.048522	0.38646	0.043892
Meth__cg01539186__ZNF336	0.08821	0.049691	0.25337	0.057926	0.071883	0.11554	0.33543	0.090018	0.04524	0.62791	0.27415	0.095	0.076476	0.068981	0.10377	0.10381	0.039696	0.092442	0.096786	0.067983	0.49676	0.11251	0.29392	0.063511	0.068414	0.06989	0.093441	0.089138	0.14441	0.10243	0.34912	0.11136
Meth__cg18780751__G6PD	0.45876	0.038829	0.050928	0.1176	0.026573	0.047467	0.14147	0.54171	0.036091	0.10566	0.057483	0.019307	0.30262	0.32559	0.092449	0.047132	0.046548	0.042581	0.25914	0.38546	0.16053	0.043396	0.17072	0.064848	0.49689	0.02989	0.14296	0.12455	0.60139	0.18775	0.48618	0.037929
Meth__cg01017147__DNM3	0.91203	0.064695	0.95273	0.53796	0.19398	0.8203	0.94542	0.58	0.11301	0.58535	0.92322	0.16137	0.047225	0.11499	0.032638	0.11556	0.45349	0.61229	0.92902	0.94097	0.11614	0.36312	0.66365	0.16922	0.19277	0.45911	0.65491	0.10257	0.88443	0.63158	0.7764	0.53617
Meth__cg08872550__CA2	0.32794	0.058366	0.20261	0.10177	0.16497	0.14689	0.22042	0.047818	0.045223	0.15849	0.31413	0.043011	0.081969	0.067918	0.15011	0.034685	0.09065	0.20221	0.44683	0.10843	0.17967	0.13066	0.39148	0.11276	0.2994	0.076754	0.11921	0.04603	0.05958	0.069973	0.3881	0.094479
Meth__cg18742441__ATP6AP1	0.53696	0.042561	0.058208	0.45354	0.035006	0.047845	0.39265	0.59278	0.033873	0.12388	0.049031	0.029315	0.34815	0.43068	0.098452	0.022796	0.038559	0.045413	0.43737	0.50378	0.17487	0.045083	0.25068	0.062218	0.43468	0.03522	0.18286	0.091587	0.5955	0.31134	0.57783	0.043715
Meth__cg07874284__PRPS2	0.56704	0.058171	0.083776	0.063553	0.54753	0.06352	0.14557	0.46173	0.068334	0.80647	0.45297	0.10126	0.052893	0.081518	0.24289	0.18409	0.064343	0.078326	0.53809	0.53872	0.62838	0.17462	0.40632	0.23096	0.54082	0.073417	0.048111	0.13899	0.39743	0.064349	0.4858	0.072581
Meth__cg09297361__SNX22	0.088315	0.074757	0.083927	0.07085	0.80501	0.108	0.049962	0.073798	0.095671	0.078274	0.36926	0.062836	0.8564	0.07315	0.095148	0.060985	0.11906	0.27048	0.092793	0.061242	0.43491	0.20989	0.19689	0.11905	0.070192	0.05567	0.5308	0.13907	0.080336	0.3604	0.17136	0.5555
Meth__cg09307264__INCA1	0.063272	0.039684	0.059901	0.065463	0.046601	0.093828	0.19719	0.09789	0.045772	0.056751	0.061429	0.042506	0.049691	0.065277	0.095654	0.039539	0.044827	0.068472	0.091964	0.050524	0.17249	0.06333	0.103	0.070875	0.4683	0.044942	0.046102	0.21068	0.18367	0.052772	0.083766	0.048502
Meth__cg15898840__IGFBP3	0.032175	0.03062	0.038406	0.020063	0.026767	0.053513	0.032258	0.067939	0.85913	0.058974	0.058712	0.72887	0.026125	0.038422	0.043459	0.015511	0.90299	0.71196	0.022423	0.14952	0.057064	0.88567	0.80228	0.04259	0.030117	0.036687	0.75182	0.86607	0.031362	0.042242	0.065568	0.032715
RS_G12549__ANGPTL4__ANGPTL4	1.3628	1.7355	0.28988	1.6842	7.1002	2.6448	1.0067	2.1231	3.7472	6.5014	3.8004	0.47775	3.7687	4.8409	3.5734	5.2861	5.7269	6.1066	1.3524	6.5731	5.4475	1.9371	3.028	5.5559	7.218	7.3786	10.3721	5.9315	5.0877	6.2922	0.66451	1.8001
Meth__cg09357097__HOXB7	0.16479	0.053399	0.11061	0.059752	0.056659	0.54217	0.1032	0.08375	0.059958	0.64411	0.067033	0.08455	0.60414	0.071142	0.10979	0.11232	0.062026	0.06522	0.23406	0.057461	0.75068	0.55965	0.66035	0.41792	0.57093	0.12862	0.51098	0.13898	0.08108	0.068426	0.26776	0.074898
Meth__cg22268164__TRHR	0.57429	0.048519	0.80406	0.60388	0.040804	0.58111	0.82198	0.041128	0.27461	0.17896	0.19433	0.61646	0.10983	0.8143	0.086848	0.11223	0.024761	0.15936	0.21447	0.89483	0.55575	0.26702	0.43692	0.10635	0.53143	0.27608	0.046432	0.17304	0.038253	0.33626	0.67473	0.21672
Meth__cg03916421__LOC132321	0.40405	0.14129	0.7987	0.36333	0.067992	0.82485	0.91477	0.20056	0.064751	0.63743	0.12794	0.082798	0.07092	0.095403	0.12179	0.047896	0.60073	0.52897	0.40041	0.88353	0.1439	0.22643	0.24038	0.20545	0.91544	0.48313	0.08497	0.12602	0.85627	0.62423	0.67698	0.56263
Meth__cg20740029__SLC5A8	0.033465	0.043007	0.037138	0.027493	0.9337	0.032161	0.1294	0.02777	0.57968	0.0445	0.45626	0.10292	0.60086	0.10041	0.14727	0.033132	0.052451	0.034557	0.12237	0.02436	0.8755	0.04642	0.91739	0.091179	0.041016	0.054781	0.27871	0.050903	0.033009	0.93686	0.44846	0.91547
Meth__cg02998425__ADAM21	0.91957	0.022214	0.87992	0.61775	0.060832	0.59729	0.96052	0.34254	0.65188	0.48407	0.28164	0.037316	0.43903	0.74457	0.072522	0.041828	0.14546	0.33397	0.92567	0.94117	0.0625	0.22864	0.2955	0.058077	0.14016	0.24169	0.36878	0.023889	0.51482	0.55082	0.61029	0.31261
Meth__cg18923230__RPL10	0.62399	0.023554	0.043631	0.4585	0.017375	0.031611	0.66507	0.64124	0.016674	0.014774	0.053254	0.021324	0.4007	0.47075	0.061184	0.03202	0.022993	0.022406	0.47886	0.44733	0.046198	0.021166	0.21221	0.037277	0.52014	0.012045	0.12012	0.054411	0.63482	0.37616	0.62395	0.025374
Meth__cg05443740__CSEN	0.040735	0.058622	0.053004	0.036984	0.52847	0.050913	0.85076	0.075257	0.39649	0.86574	0.5188	0.12919	0.4808	0.15613	0.35282	0.031072	0.063718	0.063073	0.040611	0.050341	0.2908	0.086844	0.1084	0.10542	0.060491	0.33859	0.32097	0.067279	0.044566	0.36734	0.061988	0.11283
RS_G12839__VAMP5__VAMP5	5.7475	8.4989	5.1276	6.3466	1.0717	4.2899	3.8161	7.4263	5.181	4.28	5.4616	6.2318	3.5479	2.1294	5.8416	0.73065	7.4246	6.901	7.2724	7.3036	3.5044	5.257	6.3869	6.3121	1.0478	5.9949	5.9869	5.1714	10.8607	7.7928	5.751	6.4989
Meth__cg26755715__FEZ2	0.06208	0.034596	0.052396	0.046453	0.051064	0.054469	0.095547	0.054825	0.054416	0.066775	0.10611	0.026585	0.036295	0.048653	0.050138	0.040746	0.03118	0.03874	0.053507	0.044417	0.10179	0.041611	0.086685	0.047368	0.043376	0.044459	0.048422	0.21458	0.039123	0.066841	0.10046	0.035122
Meth__cg07294774__DIO2	0.58509	0.090031	0.82858	0.24897	0.59457	0.49651	0.88608	0.11569	0.23188	0.13783	0.54785	0.25119	0.66559	0.15159	0.23542	0.73469	0.081017	0.11146	0.67538	0.10275	0.59706	0.32909	0.20826	0.15198	0.10465	0.48477	0.35914	0.1513	0.14469	0.16461	0.29275	0.16831
Meth__cg07581973__PRDX4	0.66272	0.024045	0.023573	0.26951	0.01681	0.021143	0.023671	0.59308	0.018092	0.80086	0.70516	0.74627	0.016369	0.021456	0.52644	0.73399	0.01057	0.025727	0.70536	0.67875	0.04235	0.63595	0.51515	0.087014	0.66955	0.016415	0.0084535	0.060676	0.65309	0.54434	0.68222	0.022853
RS_G14377__NRIP3__NRIP3	0.68301	2.6914	2.4942	4.8866	3.843	0.17753	4.5493	6.9244	3.4385	2.6701	2.4016	0	0.6097	5.4067	2.5642	6.5177	0	0	8.4655	1.8015	0	1.9129	0	1.5919	2.9304	1.0302	0	5.4952	1.0017	2.2752	4.9344	2.24
Meth__cg01731341__FGF6	0.59495	0.031631	0.94467	0.60298	0.2069	0.23149	0.80334	0.57189	0.94246	0.92999	0.55648	0.033245	0.59819	0.96507	0.20962	0.034019	0.66832	0.37095	0.57098	0.38337	0.41226	0.56983	0.26354	0.044001	0.94626	0.46815	0.33116	0.071166	0.10139	0.41365	0.24775	0.13136
Meth__cg27020690__TERC	0.042899	0.42765	0.048226	0.11924	0.077345	0.069589	0.38345	0.040525	0.62376	0.045505	0.50585	0.35738	0.048553	0.34495	0.05583	0.032286	0.70962	0.64783	0.64016	0.033006	0.10755	0.46383	0.11629	0.065905	0.02445	0.032666	0.56367	0.065616	0.072848	0.55536	0.11492	0.69654
RS_G10476__CLSTN2__CLSTN2	5.8455	0.55251	6.1216	6.7817	1.1877	8.6981	5.6714	6.8926	0	2.5088	1.3812	0	5.16	5.5442	0	2.1758	1.5753	6.5852	9.3094	3.9052	0	4.6367	6.445	0.59842	0.72	0.84752	1.6132	4.7589	7.2315	4.8856	2.065	0.39654
RS_G3608__RECQL5__RECQL5	6.4968	5.7145	4.7804	6.7415	5.1201	5.6653	6.0344	6.6138	6.2471	6.0003	5.4032	6.7196	6.2102	6.1721	5.995	5.5079	7.4583	6.8074	5.3911	6.4781	5.7466	7.5021	7.1239	6.8241	7.782	5.8644	6.3415	7.5127	7.171	7.2774	4.7121	6.9302
Meth__cg16584911__KIAA0828	0.087701	0.090017	0.086627	0.06645	0.085049	0.092013	0.060132	0.098036	0.090602	0.06975	0.10702	0.15511	0.0818	0.089771	0.10482	0.076472	0.85802	0.097191	0.099868	0.11332	0.07521	0.090355	0.11	0.11141	0.094241	0.099482	0.062517	0.072701	0.085361	0.083883	0.075583	0.096304
Meth__cg23896545__NOMO1	0.20598	0.036929	0.11744	0.28695	0.47584	0.20499	0.28084	0.06887	0.13351	0.2819	0.29165	0.071016	0.077157	0.18302	0.098021	0.65698	0.085852	0.056839	0.41198	0.29979	0.33266	0.056821	0.18395	0.066045	0.038908	0.078277	0.10173	0.10024	0.56321	0.11422	0.41655	0.066225
Meth__cg20131968__CCDC47	0.075696	0.049002	0.10157	0.47823	0.27086	0.14443	0.16897	0.39166	0.085405	0.10526	0.10726	0.056187	0.075864	0.037383	0.12556	0.0653	0.054949	0.069752	0.11687	0.78444	0.26394	0.084914	0.081447	0.064599	0.035906	0.059837	0.025716	0.057344	0.072253	0.08221	0.15773	0.29835
Meth__cg17733100__C1orf106	0.054622	0.037504	0.13757	0.1056	0.036547	0.069474	0.46116	0.046508	0.053183	0.060216	0.19902	0.028967	0.053671	0.049572	0.1192	0.049393	0.32444	0.35178	0.27186	0.030031	0.059762	0.062733	0.086826	0.079254	0.28283	0.034321	0.035786	0.05262	0.05778	0.052421	0.077155	0.04601
Meth__cg11176095__GPR126	0.042486	0.045632	0.050816	0.069097	0.030595	0.058334	0.042177	0.082013	0.03206	0.04607	0.10525	0.050563	0.060717	0.026962	0.092339	0.10639	0.030682	0.03291	0.60459	0.1201	0.084595	0.038413	0.080958	0.071633	0.3645	0.035957	0.0436	0.079016	0.058816	0.044189	0.11891	0.074892
RS_G14028__SUSD5__SUSD5	4.1374	0.2278	1.652	1.4189	7.4136	0.79899	3.8409	0.95948	0.80769	2.9382	3.1619	1.2317	4.0329	6.9944	0.6891	4.6281	0.52125	0.29324	2.9912	3.0817	7.5128	1.1616	0.81957	1.4101	6.1608	1.8309	0.27212	3.4141	3.0074	0.075385	2.5544	0.35588
Meth__cg05626013__LRRTM3	0.29061	0.093426	0.63909	0.10767	0.27788	0.21835	0.77333	0.13245	0.25376	0.23782	0.2509	0.16485	0.20077	0.22465	0.14815	0.16475	0.13124	0.15774	0.78845	0.16157	0.45484	0.1721	0.29889	0.087942	0.10622	0.20464	0.10853	0.13061	0.12659	0.14646	0.38405	0.14324
Meth__cg18241160__CDC2L2	0.051236	0.028507	0.049259	0.046995	0.017644	0.11881	0.27936	0.029282	0.051181	0.13383	0.091107	0.12899	0.031114	0.070343	0.057386	0.036971	0.042847	0.046387	0.05457	0.056546	0.76748	0.032341	0.056392	0.034954	0.045054	0.031048	0.025651	0.070074	0.031464	0.043225	0.11441	0.04156
Meth__cg12167239__SLC25A1	0.034986	0.05488	0.65455	0.032978	0.054008	0.035378	0.1509	0.042114	0.031796	0.079957	0.2599	0.023419	0.029524	0.038	0.064036	0.084563	0.029622	0.035388	0.064519	0.020454	0.057847	0.033865	0.087082	0.080557	0.026309	0.022515	0.027535	0.047164	0.039258	0.024372	0.065732	0.028811
Meth__cg26723847__hCAP-D3	0.14485	0.061849	0.14966	0.091739	0.047099	0.12265	0.18479	0.13066	0.08656	0.45307	0.16595	0.055112	0.15563	0.14049	0.13358	0.085191	0.080797	0.12459	0.12809	0.1301	0.097281	0.12418	0.15929	0.12891	0.13331	0.058297	0.0883	0.11017	0.1134	0.10492	0.23252	0.091116
RS_G27296__IGHE__IGHE	0	6.9908	1.3543	4.0388	0	0.60738	0	1.1694	0	0.6756	4.4599	0.58338	0.48354	0	0	0	4.756	1.6579	1.583	2.7019	0	1.3237	0	2.7515	0	0	6.537	1.5464	7.9834	4.3878	0	2.5552
Meth__cg16691888__LRP2	0.10234	0.083452	0.11679	0.082488	0.1596	0.11542	0.068816	0.1054	0.13076	0.19194	0.51546	0.16409	0.18765	0.06896	0.11247	0.11561	0.70466	0.1535	0.10675	0.22279	0.12853	0.15183	0.21705	0.097129	0.073807	0.060766	0.54842	0.19598	0.12633	0.27962	0.17906	0.10203
Meth__cg15767406__ZNF660	0.3189	0.025519	0.36896	0.088942	0.24494	0.39771	0.74056	0.31861	0.20859	0.61261	0.10127	0.033109	0.10692	0.2686	0.047011	0.059615	0.079303	0.083052	0.76681	0.1631	0.0735	0.11215	0.21966	0.099441	0.039278	0.067362	0.10284	0.12645	0.37365	0.053632	0.11984	0.065649
RS_G29190__AC023300.19__AC023300.19	0	1.2367	0	1.186	0	0	0.51339	0	0	2.5168	3.9066	0	1.3632	1.6846	5.3328	0	1.327	0	0	1.6133	0	0	0	0	0	4.4664	0.35615	0	0.99619	1.3003	0	0.45052
Meth__cg13771629__EBP	0.5214	0.20468	0.03563	0.19666	0.4511	0.044692	0.03991	0.56537	0.039784	0.43011	0.25414	0.31567	0.39531	0.048872	0.1835	0.88562	0.0309	0.043012	0.44069	0.41876	0.52445	0.44144	0.29829	0.42744	0.72191	0.032754	0.038891	0.067743	0.44348	0.36839	0.42702	0.034316
Meth__cg19082446__SGK3	0.083186	0.062227	0.064824	0.042978	0.047084	0.071499	0.044812	0.065077	0.068145	0.053733	0.11686	0.059039	0.10256	0.066136	0.086306	0.057696	0.094148	0.074819	0.07283	0.039619	0.15147	0.094404	0.5261	0.16734	0.080343	0.081361	0.074989	0.18134	0.082691	0.089711	0.080873	0.080443
Meth__cg03464416__RPL10	0.29175	0.10284	0.13926	0.2965	0.044466	0.092711	0.77732	0.067116	0.056461	0.187	0.12142	0.034128	0.39406	0.66814	0.14067	0.10954	0.048007	0.066101	0.65254	0.57267	0.17465	0.087452	0.27435	0.081437	0.41715	0.036505	0.13096	0.22126	0.69503	0.31173	0.49786	0.076412
Meth__cg05722918__SLC5A8	0.022874	0.021925	0.051018	0.020795	0.89954	0.028789	0.085418	0.023744	0.52983	0.031563	0.57039	0.4059	0.63583	0.039381	0.069107	0.0199	0.065827	0.028848	0.24398	0.025387	0.82647	0.026733	0.91579	0.037399	0.025993	0.29685	0.27651	0.092552	0.027911	0.94653	0.66403	0.9255
Meth__cg02271621__DUSP8	0.085875	0.034549	0.056948	0.14379	0.033686	0.040268	0.92157	0.89903	0.036283	0.95549	0.21858	0.037318	0.55157	0.048466	0.10251	0.074156	0.034472	0.043517	0.54583	0.1792	0.86586	0.61791	0.25903	0.074207	0.38205	0.27541	0.90529	0.08973	0.62864	0.029708	0.25513	0.0326
Meth__cg07428182__PLXNA3	0.7751	0.041092	0.046452	0.71352	0.034594	0.041688	0.55584	0.83942	0.03121	0.10342	0.088314	0.024936	0.6907	0.61119	0.14962	0.047095	0.042712	0.049926	0.74411	0.77305	0.071139	0.043006	0.3095	0.077108	0.64159	0.033016	0.46179	0.1332	0.85771	0.39443	0.77322	0.033844
Meth__cg18611281__ZNF512	0.051914	0.053697	0.27389	0.057792	0.054094	0.061782	0.58736	0.0523	0.96893	0.03787	0.91982	0.31797	0.045473	0.052029	0.089904	0.052704	0.59393	0.60133	0.073765	0.045878	0.086329	0.46524	0.090925	0.048156	0.046136	0.57285	0.82034	0.067259	0.22827	0.70766	0.15687	0.92924
Meth__cg00392257__ISG20L2	0.063117	0.027933	0.39648	0.1524	0.10168	0.06971	0.039333	0.09935	0.075969	0.75969	0.05092	0.46937	0.036255	0.036253	0.054943	0.65123	0.076563	0.041297	0.47061	0.24365	0.18522	0.15622	0.057427	0.046863	0.051859	0.39297	0.034119	0.1759	0.30369	0.042563	0.11218	0.029613
Meth__cg02833725__ISG20L2	0.059149	0.039689	0.47199	0.19892	0.11437	0.12002	0.042836	0.1665	0.041909	0.89974	0.061578	0.33682	0.039812	0.076281	0.068081	0.62789	0.13477	0.048329	0.47246	0.24803	0.13004	0.17389	0.039655	0.04528	0.050646	0.46351	0.028297	0.27258	0.33586	0.029967	0.099358	0.037777
Meth__cg24265806__DRCTNNB1A	0.057324	0.0407	0.042254	0.043639	0.039936	0.04874	0.069776	0.049883	0.053521	0.082972	0.050546	0.038867	0.055265	0.040134	0.045008	0.031492	0.048448	0.044931	0.10817	0.047085	0.077853	0.054309	0.72126	0.040679	0.0554	0.052068	0.037858	0.068396	0.043446	0.044174	0.098081	0.041065
RS_G11774__DEFB1__DEFB1	1.993	2.346	1.9138	0	0	0	0	0	1.0764	4.6884	10.3764	1.4116	8.1565	0	9.3815	0	0	0	0	5.5335	0	1.9353	4.1392	0	0	0.89009	2.4838	0	1.9013	0	0	0
Meth__cg02656594__IL21R	0.85361	0.058388	0.73114	0.60515	0.22129	0.46108	0.77831	0.69879	0.34067	0.35491	0.3903	0.033869	0.35119	0.59197	0.089629	0.13668	0.52129	0.69691	0.53516	0.91345	0.1445	0.24554	0.06901	0.063951	0.075739	0.13	0.13292	0.18159	0.8347	0.19473	0.34091	0.22614
Meth__cg24414089__MRC2	0.054287	0.049567	0.069114	0.060796	0.059388	0.066178	0.052741	0.057234	0.12092	0.039007	0.16809	0.048741	0.052025	0.047219	0.14687	0.049565	0.25649	0.26227	0.056688	0.054991	0.070522	0.065007	0.52122	0.094714	0.052142	0.057153	0.41426	0.21521	0.069824	0.08141	0.12448	0.29496
Meth__cg15164103__MEST	0.10477	0.061122	0.10935	0.067746	0.83768	0.32679	0.77847	0.070967	0.7729	0.22371	0.18813	0.048666	0.48316	0.093475	0.086716	0.73864	0.069605	0.075672	0.6032	0.044821	0.39966	0.082264	0.13324	0.084048	0.85847	0.074231	0.4498	0.49294	0.075451	0.06903	0.17092	0.080966
Meth__cg11953868__WFDC10A	0.059146	0.038551	0.38006	0.035308	0.043733	0.052412	0.16878	0.069179	0.094522	0.04771	0.079077	0.035736	0.051404	0.032378	0.059715	0.023739	0.038951	0.053248	0.64397	0.027934	0.059852	0.050521	0.11639	0.03257	0.046575	0.043033	0.039638	0.042865	0.057131	0.038178	0.072843	0.028133
Meth__cg08548888__MYD88	0.077687	0.065282	0.52453	0.10426	0.7097	0.7001	0.24066	0.085967	0.089083	0.31097	0.15785	0.059	0.18224	0.083503	0.1528	0.097357	0.16513	0.11618	0.17724	0.13201	0.52875	0.087104	0.12146	0.078477	0.13257	0.077423	0.11264	0.14744	0.36847	0.080733	0.2835	0.087002
Meth__cg11016745__FLJ25444	0.50807	0.39266	0.068763	0.36316	0.063544	0.089416	0.061556	0.52786	0.065891	0.44854	0.47152	0.17161	0.056742	0.083213	0.23874	0.3569	0.053874	0.078005	0.48636	0.48478	0.11789	0.41351	0.45604	0.43484	0.50545	0.07216	0.036803	0.19816	0.4557	0.29262	0.55365	0.064069
Meth__cg07950803__CD1A	0.73751	0.10593	0.15058	0.11136	0.056247	0.10669	0.17484	0.069441	0.72906	0.031374	0.46102	0.1992	0.31072	0.52635	0.10733	0.051049	0.21729	0.24558	0.20197	0.94075	0.050912	0.13716	0.36559	0.074294	0.036145	0.45283	0.046256	0.12776	0.05575	0.27545	0.14395	0.30833
Meth__cg07560096__ME3	0.067524	0.16706	0.89526	0.68633	0.87936	0.070128	0.94231	0.092715	0.87869	0.035823	0.89887	0.24518	0.87709	0.062786	0.12117	0.065539	0.74667	0.78207	0.057331	0.058015	0.10065	0.58375	0.54098	0.23767	0.060236	0.54801	0.40358	0.090698	0.15363	0.17547	0.139	0.622
Meth__cg19391527__PNOC	0.14887	0.048461	0.73781	0.35488	0.035851	0.19948	0.89399	0.443	0.1034	0.45685	0.56831	0.06161	0.22403	0.11284	0.19048	0.033827	0.26792	0.19855	0.60304	0.88826	0.11577	0.16356	0.11121	0.082147	0.045763	0.049613	0.10822	0.1407	0.16497	0.07463	0.4555	0.065023
Meth__cg24429836__LDHD	0.054925	0.051821	0.074102	0.090199	0.080054	0.11316	0.17756	0.25487	0.036961	0.52883	0.056069	0.020673	0.077708	0.4549	0.11689	0.10596	0.033032	0.033886	0.10036	0.02897	0.052725	0.033504	0.098652	0.10712	0.04016	0.90895	0.04355	0.062719	0.087868	0.05911	0.23669	0.059635
Meth__cg08724563__RAX	0.1431	0.043422	0.1511	0.09706	0.086692	0.2094	0.40924	0.053441	0.37822	0.063287	0.096417	0.032449	0.069422	0.039329	0.080651	0.044675	0.044465	0.049682	0.5772	0.8604	0.16795	0.055255	0.11848	0.10343	0.045847	0.043203	0.15467	0.052484	0.059403	0.045041	0.11456	0.10929
Meth__cg04959788__PTCH2	0.042444	0.068602	0.54899	0.33578	0.92751	0.12292	0.1756	0.038348	0.48443	0.56798	0.90924	0.49105	0.88071	0.035067	0.053886	0.030871	0.88443	0.47983	0.045437	0.1732	0.53891	0.25523	0.87366	0.058417	0.033209	0.13111	0.95284	0.094375	0.045804	0.24538	0.17629	0.82206
Meth__cg06657741__SLC9A6	0.50322	0.05968	0.10588	0.13347	0.041962	0.069027	0.32268	0.38898	0.071499	0.043578	0.12521	0.066374	0.29781	0.3758	0.15942	0.083259	0.054154	0.058916	0.51789	0.4936	0.18842	0.088935	0.30256	0.10143	0.3446	0.040253	0.1923	0.15607	0.36596	0.055424	0.60611	0.071974
Meth__cg08052882__NNT	0.083595	0.061372	0.43711	0.088199	0.061314	0.14996	0.045338	0.062845	0.068001	0.053924	0.5782	0.056308	0.095711	0.064379	0.1259	0.055343	0.13923	0.078642	0.057424	0.23906	0.082957	0.083239	0.15829	0.15016	0.058553	0.094441	0.52734	0.095033	0.29966	0.28936	0.1758	0.1601
Meth__cg21789545__COL9A1	0.72267	0.032243	0.84176	0.23715	0.15382	0.60232	0.87411	0.29447	0.81352	0.29131	0.21061	0.049681	0.26305	0.39998	0.09472	0.035937	0.064909	0.11929	0.36511	0.70646	0.17668	0.18448	0.44263	0.087827	0.25976	0.45375	0.1361	0.08538	0.24205	0.17193	0.26853	0.4613
RS_G9022__SCUBE3__SCUBE3	3.5466	0.2618	2.5074	6.8946	1.7019	0.87587	2.3629	2.2384	2.795	2.8216	0.42772	5.6363	1.3151	1.3521	1.3012	4.7496	1.9989	1.9342	3.1102	3.0681	3.0285	2.9598	3.4945	0.25785	2.954	1.0921	0.10982	2.6449	4.6731	1.8505	1.1401	0.94161
RS_G4968__GDA__GDA	0.10563	0.60521	0	0.089202	0.08965	0.04757	6.0545	0.23587	0	3.2095	0	0	5.0122	0	2.4387	3.1359	0	0	0.048047	2.3507	0.38708	0.044528	0	0	0.084976	5.2678	0.050969	0	0.091997	0.066214	0.10575	0
Meth__cg13084525__EHF	0.090588	0.078842	0.096303	0.087629	0.09088	0.14677	0.075159	0.079452	0.13083	0.21114	0.045647	0.048224	0.059882	0.80461	0.1721	0.19274	0.10582	0.11629	0.061892	0.04891	0.19735	0.061852	0.088294	0.093305	0.2118	0.032355	0.098039	0.16587	0.059613	0.07852	0.11161	0.086906
Meth__cg12163490__CDH11	0.074899	0.076535	0.038912	0.729	0.033615	0.525	0.4797	0.043301	0.56278	0.1159	0.68726	0.66924	0.036094	0.031703	0.22935	0.025153	0.88671	0.96272	0.068876	0.39046	0.092415	0.082396	0.932	0.10948	0.027985	0.13573	0.76743	0.38361	0.8368	0.16648	0.6546	0.79193
Meth__cg14837411__RAD51C	0.03087	0.032961	0.026811	0.025823	0.23956	0.029644	0.021394	0.029882	0.037441	0.033509	0.067725	0.022565	0.03876	0.030284	0.082845	0.029864	0.17693	0.18928	0.043105	0.022419	0.03758	0.023911	0.087779	0.071963	0.028663	0.092895	0.02335	0.048903	0.03335	0.032841	0.057782	0.033648
Meth__cg07017477__THEM4	0.089527	0.082648	0.3779	0.051138	0.97404	0.07852	0.18118	0.050499	0.099522	0.031753	0.059076	0.1465	0.044125	0.069562	0.11334	0.03855	0.065162	0.098797	0.06475	0.058771	0.064998	0.084305	0.692	0.12539	0.043447	0.043007	0.85043	0.1823	0.059359	0.33762	0.1099	0.62824
RS_G11040__RBP7__RBP7	2.5571	1.1604	2.4051	2.7369	1.2423	2.0812	5.8017	6.599	0.70929	5.6841	1.4072	2.7215	1.491	3.2908	1.3599	1.9102	1.3471	3.4292	2.3221	2.4849	0.5881	2.2494	1.3534	0	1.8559	2.5046	1.5544	6.9952	4.2168	2.0234	3.47	1.3543
Meth__cg07068998__NRAS	0.047341	0.049213	0.077123	0.048546	0.041993	0.035095	0.11322	0.09926	0.94866	0.11676	0.18759	0.029897	0.046591	0.036206	0.62382	0.036321	0.075417	0.07542	0.070721	0.083115	0.069266	0.13345	0.22168	0.059261	0.034575	0.35139	0.43314	0.13612	0.91194	0.93361	0.76852	0.93911
