Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SUM1315MO2	SUM149PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg21656748__SCARB2	0.031107	0.095541	0.028895	0.034106	0.51956	0.030315	0.024849	0.043724	0.025575	0.070104	0.13929	0.036236	0.023733	0.040582	0.029758	0.22914	0.065732	0.1199	0.02	0.08554	0.031255	0.09981	0.021396	0.026959	0.016455	0.035158	0.041299	0.032578	0.033102	0.034309
Meth__cg10714284__HLA-DMB	0.054847	0.03031	0.076455	0.046909	0.042629	0.038486	0.17332	0.045129	0.07533	0.11855	0.041495	0.038625	0.027887	0.10148	0.034527	0.041441	0.02611	0.03803	0.043452	0.071139	0.060074	0.071615	0.022947	0.036943	0.027579	0.045921	0.079195	0.045304	0.060998	0.050892
Meth__cg09226684__KLK10	0.57287	0.087975	0.2924	0.10584	0.38722	0.10052	0.17463	0.10219	0.86567	0.72887	0.12721	0.12659	0.27874	0.10526	0.2206	0.095399	0.12513	0.63634	0.36703	0.29566	0.11556	0.56308	0.11019	0.11508	0.11836	0.11587	0.11765	0.088704	0.1027	0.086381
Meth__cg14681055__PITX3	0.96442	0.045994	0.96446	0.97266	0.67592	0.93539	0.60438	0.047637	0.88187	0.082909	0.72562	0.064399	0.034826	0.064283	0.35747	0.24377	0.069844	0.5819	0.95324	0.88011	0.96491	0.89578	0.041508	0.44164	0.10359	0.4961	0.94738	0.14847	0.94282	0.9321
Meth__cg05840031__PAX6	0.064235	0.25073	0.16263	0.098279	0.073639	0.6062	0.039474	0.62385	0.17546	0.035845	0.57785	0.029669	0.034314	0.054499	0.043144	0.60186	0.60499	0.48527	0.1914	0.88497	0.58773	0.73826	0.071245	0.11396	0.036055	0.62303	0.073864	0.050418	0.43749	0.3996
Meth__cg12022621__LAX1	0.55507	0.053922	0.72904	0.68955	0.21567	0.23262	0.85927	0.060584	0.44002	0.87858	0.24957	0.37301	0.43306	0.17233	0.045094	0.45105	0.66091	0.71212	0.87221	0.15431	0.34435	0.15989	0.040784	0.058088	0.051656	0.12454	0.13661	0.75167	0.39242	0.17796
Meth__cg04736140__GPR161	0.035733	0.11043	0.15549	0.066657	0.059729	0.47096	0.05763	0.036992	0.054499	0.030244	0.2861	0.29259	0.033184	0.077444	0.032714	0.84707	0.76869	0.24261	0.27	0.41122	0.055859	0.084649	0.23925	0.032429	0.030893	0.53413	0.04532	0.16297	0.12729	0.14229
Meth__cg01837574__TRAPPC1	0.080761	0.18882	0.6365	0.097139	0.086736	0.12488	0.29758	0.13013	0.46717	0.89892	0.1465	0.28955	0.082558	0.18424	0.043939	0.086368	0.064281	0.089265	0.14929	0.087433	0.063197	0.14047	0.06167	0.35351	0.10346	0.06718	0.10099	0.11205	0.0655	0.072278
RS_G2982__NCALD__NCALD	4.3153	2.4446	5.2968	3.4999	4.5153	0.51725	2.7335	1.4971	0.20432	1.7263	0.10957	0.51904	0.31846	3.4817	0.25333	1.5508	2.1677	4.1108	3.4312	0.39818	2.874	0.75631	0.21028	0.42403	4.7842	1.5149	3.0914	3.3798	3.9235	1.34
RS_G2016__COL9A3__COL9A3	1.4993	4.0111	0.88215	3.5012	1.2322	0.70713	6.8804	1.1249	5.9643	2.6759	0	0.21295	2.7092	0.925	0.61144	3.7968	1.6879	3.6563	4.4015	0.36722	3.2525	4.299	0.35941	9.2432	5.9379	2.9855	4.585	7.0235	1.077	0.53092
Meth__cg18669381__ARHGEF19	0.069456	0.054734	0.066552	0.057513	0.34519	0.059887	0.050163	0.060015	0.058052	0.054098	0.093711	0.069911	0.25933	0.09417	0.16583	0.051857	0.064602	0.054115	0.052454	0.28585	0.057193	0.093656	0.10506	0.084705	0.060102	0.051879	0.046164	0.075579	0.052313	0.061117
RS_G41__TFPI__TFPI	1.8179	0.2174	0.72568	0.79129	8.5146	4.5244	0	3.8782	0	3.7167	5.6665	2.9865	5.668	6.5509	6.9449	4.0401	7.4224	4.2219	2.2633	7.667	0.35548	0	3.6419	0	0.60216	4.1591	0	0.79281	0	0
Meth__cg11521325__FLJ32926	0.28701	0.051987	0.5736	0.37893	0.16098	0.18985	0.79586	0.24987	0.31047	0.60519	0.20071	0.18714	0.57895	0.10666	0.082371	0.40238	0.40775	0.66196	0.80626	0.11307	0.145	0.14745	0.062955	0.1	0.044765	0.080756	0.44286	0.75243	0.18562	0.11095
Meth__cg00746083__CHD8	0.047919	0.046485	0.040164	0.035523	0.041837	0.050546	0.042345	0.04367	0.042765	0.030797	0.088698	0.033588	0.046863	0.097249	0.036376	0.039234	0.044381	0.046551	0.033462	0.10109	0.041627	0.06234	0.049105	0.049147	0.032043	0.043708	0.16164	0.057309	0.049414	0.04643
RS_G15260__HES7__HES7	0	0.74429	0	0	4.4729	0	2.4728	0.87896	0	1.1211	0.63934	0	0	2.2176	2.0907	0	0.67844	0	0.44243	3.469	1.3203	1.06	5.7877	8.4374	0	0	0	0.77514	4.6814	5.2286
Meth__cg03751799__SRPRB	0.070363	0.049246	0.10586	0.025767	0.055498	0.099713	0.042254	0.073961	0.040834	0.029842	0.097832	0.072583	0.034396	0.075538	0.063462	0.035133	0.083026	0.082957	0.035199	0.16208	0.067206	0.11249	0.040728	0.062845	0.049543	0.041112	0.054777	0.053707	0.097764	0.08709
RS_G4477__IFIH1__IFIH1	5.5519	5.0104	4.6702	6.8435	0.57761	6.2807	4.7528	5.0304	10.0636	6.0943	6.2488	4.7248	3.5667	8.2669	1.4788	4.3502	3.9352	6.35	4.2171	3.4482	3.4814	4.6777	3.3564	5.3174	6.8807	5.1924	4.8213	3.2622	5.4048	4.3929
Meth__cg04057858__UNQ9391	0.52954	0.063359	0.081237	0.067658	0.058364	0.084049	0.69903	0.066551	0.21483	0.40487	0.096306	0.12681	0.56305	0.12076	0.057171	0.16738	0.21623	0.062387	0.70593	0.19246	0.066868	0.15455	0.055169	0.054401	0.068049	0.069307	0.19634	0.26696	0.082934	0.15108
Meth__cg22882178__PITX3	0.93999	0.039592	0.93756	0.94541	0.6381	0.93518	0.36045	0.041114	0.9171	0.12286	0.60512	0.12069	0.024645	0.16614	0.065977	0.39538	0.05482	0.5138	0.93862	0.82543	0.93211	0.86115	0.041776	0.49913	0.082571	0.43038	0.92746	0.12057	0.91867	0.89754
Meth__cg07960846__STK11	0.051447	0.075498	0.057634	0.045735	0.049351	0.055713	0.046644	0.052191	0.044602	0.040121	0.10296	0.067326	0.052771	0.080995	0.047119	0.042043	0.050489	0.059792	0.038091	0.099441	0.055775	0.0611	0.04645	0.50509	0.035686	0.040517	0.1134	0.050345	0.055931	0.04898
Meth__cg08250444__EFNA1	0.034524	0.031093	0.031325	0.024754	0.033912	0.032918	0.024741	0.041749	0.027633	0.033106	0.07748	0.03366	0.030028	0.091665	0.28558	0.024771	0.034869	0.039355	0.023801	0.14234	0.040606	0.063635	0.034472	0.025688	0.026018	0.024207	0.055129	0.03628	0.028882	0.03124
Meth__cg16812893__KRTAP15-1	0.84791	0.045859	0.8271	0.50706	0.17016	0.83603	0.9097	0.055101	0.67342	0.34156	0.19177	0.59952	0.094978	0.056857	0.06038	0.082529	0.12679	0.48397	0.75945	0.075929	0.20093	0.18055	0.12588	0.10819	0.048715	0.13562	0.095746	0.05561	0.43157	0.62722
Meth__cg07031996__MTF1	0.73507	0.039499	0.44024	0.10082	0.047448	0.2619	0.23157	0.18537	0.14455	0.157	0.097303	0.062423	0.023207	0.085354	0.10585	0.084842	0.056903	0.12121	0.90034	0.37892	0.15474	0.29812	0.02577	0.0232	0.11106	0.1262	0.056683	0.050524	0.15297	0.067504
Meth__cg04739570__PODXL2	0.066825	0.058281	0.069193	0.044006	0.67678	0.67613	0.052799	0.084987	0.055498	0.61847	0.79551	0.11182	0.55203	0.18264	0.32317	0.71109	0.28045	0.060963	0.097177	0.84827	0.73387	0.89681	0.062706	0.36705	0.071464	0.070805	0.12386	0.068793	0.058443	0.05713
Meth__cg16639637__TUBGCP5	0.04286	0.039586	0.035071	0.046577	0.035063	0.044047	0.02732	0.062338	0.038117	0.036237	0.17603	0.041598	0.040433	0.68123	0.041463	0.040452	0.045575	0.5727	0.034813	0.099684	0.05961	0.14413	0.048131	0.037276	0.032986	0.047895	0.13231	0.046024	0.044059	0.034574
Meth__cg27472032__VPS39	0.025183	0.021424	0.037702	0.024718	0.03784	0.027272	0.026846	0.043169	0.027156	0.026503	0.082591	0.028022	0.52184	0.048482	0.024641	0.030018	0.034733	0.058287	0.024295	0.090047	0.032019	0.064794	0.028325	0.038794	0.023978	0.020829	0.048186	0.035818	0.032209	0.034404
Meth__cg05655556__PSMD2	0.035216	0.020781	0.02286	0.040361	0.67511	0.066694	0.015707	0.026307	0.028017	0.026397	0.068919	0.027331	0.034055	0.046803	0.23696	0.018182	0.027427	0.053099	0.040163	0.044703	0.035487	0.055383	0.027349	0.028213	0.024643	0.12958	0.02911	0.032508	0.044776	0.098772
Meth__cg26755715__FEZ2	0.06208	0.034596	0.052396	0.046453	0.051064	0.054469	0.095547	0.054825	0.054416	0.066775	0.10611	0.036295	0.048653	0.050138	0.040746	0.03118	0.03874	0.053507	0.044417	0.10179	0.041611	0.086685	0.043376	0.044459	0.15479	0.048422	0.21458	0.039123	0.066841	0.035122
Meth__cg12559031__DLX4	0.063804	0.047144	0.073393	0.029821	0.47001	0.062107	0.046201	0.048759	0.10037	0.028062	0.051139	0.041007	0.23701	0.094423	0.10007	0.033401	0.069077	0.057592	0.035906	0.089583	0.047465	0.40484	0.088846	0.30669	0.035619	0.36688	0.026596	0.039656	0.039526	0.042181
Meth__cg06101324__SPRR1A	0.91014	0.035554	0.90436	0.88729	0.048965	0.25398	0.70221	0.089253	0.058025	0.67343	0.75938	0.057645	0.059044	0.14949	0.048081	0.20055	0.18535	0.065073	0.79591	0.086043	0.071453	0.071162	0.046092	0.073252	0.049046	0.080777	0.10818	0.81094	0.36761	0.5226
RS_G7114__DSC3__DSC3	0.49573	0.39677	0.62504	0.63213	0.2795	0.3894	7.5985	0.84273	0.60086	7.081	1.5077	0.39204	7.2272	8.0574	1.0849	0.31427	0.28104	0.81509	3.5073	0.35268	0.20643	0.58525	0.32785	5.5162	1.6246	0.20067	0.45929	0.40609	0.80168	0.44014
RS_G3962__OAS2__OAS2	4.3877	1.8619	0.23744	7.0052	0.056976	0.1167	0	3.2922	9.1157	5.8469	5.639	0.22552	2.2623	9.5512	0.30327	2.3693	1.4216	0.27765	3.6094	0.76221	0.49092	0	0.20349	2.0593	8.8459	4.2907	6.5074	0.28765	1.9355	0.55898
Meth__cg15042080__TMEM74	0.055874	0.019964	0.54222	0.025011	0.14988	0.96617	0.21573	0.036118	0.030738	0.044597	0.51547	0.025106	0.040891	0.19869	0.10478	0.77336	0.92443	0.42915	0.023478	0.60025	0.42789	0.95757	0.035729	0.026023	0.020107	0.96661	0.066939	0.69568	0.068177	0.39499
Meth__cg13158571__CYP4X1	0.04061	0.22216	0.043895	0.028983	0.71473	0.76414	0.03723	0.30967	0.65769	0.76576	0.94681	0.24715	0.049216	0.068625	0.022797	0.84663	0.89114	0.92693	0.12825	0.54104	0.8731	0.75053	0.257	0.024996	0.033404	0.045871	0.2217	0.062353	0.43288	0.88393
Meth__cg16249454__CXCL2	0.023875	0.22987	0.025954	0.021103	0.089794	0.078958	0.028059	0.091278	0.029988	0.020634	0.039564	0.71471	0.02023	0.041026	0.018585	0.044244	0.028175	0.079515	0.01936	0.056035	0.024332	0.086578	0.025069	0.014448	0.015745	0.75764	0.19378	0.026162	0.033448	0.359
Meth__cg05719902__LOC136306	0.62022	0.081224	0.096723	0.23394	0.94658	0.56036	0.12775	0.073537	0.072677	0.19613	0.23689	0.16505	0.20656	0.14385	0.71836	0.086918	0.63461	0.86187	0.069788	0.9039	0.087311	0.73474	0.51398	0.15094	0.062488	0.59251	0.14194	0.080448	0.51157	0.5288
RS_G16297__RKHD3__RKHD3	2.0171	3.6158	4.1849	3.1703	4.7893	3.3281	2.4169	2.8749	2.0513	1.5107	1.3909	2.9799	2.7803	1.3012	3.7739	4.1477	3.8481	4.4873	1.1298	1.8239	3.3296	4.0966	7.5653	0.42356	0.56559	0.75073	0.4064	4.3197	3.3748	2.4971
Meth__cg00419564__S100A6	0.04492	0.5113	0.080963	0.20871	0.58613	0.066202	0.071459	0.65521	0.17574	0.064917	0.58331	0.12709	0.048364	0.17592	0.049893	0.74888	0.54231	0.40383	0.03668	0.082412	0.053672	0.39203	0.069532	0.059571	0.037158	0.041721	0.060747	0.30684	0.14581	0.14331
Meth__cg07007400__KRT7	0.055763	0.046739	0.055848	0.053989	0.86183	0.087797	0.049454	0.85972	0.10655	0.053436	0.075979	0.054914	0.078192	0.099266	0.84862	0.877	0.86467	0.54035	0.040393	0.14013	0.059741	0.102	0.10632	0.046383	0.048268	0.045592	0.51199	0.051887	0.83956	0.82992
Meth__cg16689634__CYP4X1	0.070387	0.34942	0.088826	0.050963	0.85139	0.67648	0.13259	0.046244	0.33599	0.41945	0.86428	0.49694	0.38524	0.12218	0.052548	0.8637	0.89911	0.9004	0.14872	0.7006	0.87605	0.79832	0.06817	0.049273	0.039131	0.0523	0.13342	0.12545	0.58011	0.87703
Meth__cg17864730__ITGB8	0.048052	0.65607	0.12863	0.037607	0.21752	0.33071	0.057494	0.21529	0.0512	0.02898	0.14006	0.038309	0.029318	0.10732	0.025367	0.36216	0.075311	0.47696	0.12816	0.4036	0.04875	0.14054	0.052867	0.027042	0.026173	0.8504	0.068925	0.039135	0.14096	0.47354
RS_G22491__AC008734.7__AC008734.7	2.8709	6.4765	0.59515	2.5045	0	0	6.2257	0.078348	0.813	5.8028	0.55869	3.0198	0	3.8887	0	0.17013	1.8018	0.11947	5.4715	0	0.13791	0.54559	0	3.4623	2.5347	0	0	1.7923	1.6888	0.84556
RS_G12106__FBN1__FBN1	1.2014	1.8895	2.1102	0.65511	7.5586	2.1463	1.108	0.18388	0.66708	4.1752	1.0146	4.3982	6.9848	4.5742	9.8221	0.29333	1.5016	1.6413	0.80989	5.7106	1.3307	3.0962	5.4877	1.9859	0.49329	1.2437	0.29429	1.1637	1.0261	0.5397
RS_G13225__KRT75__KRT75	0.1001	0.48837	0.13704	2.6322	0	0.24517	5.1256	0	2.0876	3.4922	6.9589	8.326	0	2.9312	1.6538	1.0494	0	0.44826	7.6739	0	0	0	2.1211	0.93863	2.1169	0.25517	0.87163	3.2242	0	0
RS_G16526__ALDH1A3__ALDH1A3	6.9869	6.6244	3.4412	2.4634	1.2073	2.8938	11.2405	1.4376	5.1885	10.8421	12.6084	10.846	3.2546	8.3779	5.4292	5.6338	1.6124	1.2527	9.3386	4.3207	2.1737	1.7792	1.5677	6.6021	7.6667	3.6909	6.7618	5.3565	5.1568	3.5552
Meth__cg00047050__CUL5	0.092269	0.057714	0.44268	0.25242	0.068272	0.10797	0.19343	0.078839	0.049287	0.17286	0.087833	0.075434	0.05739	0.16017	0.032915	0.066264	0.080443	0.18814	0.088729	0.14348	0.061065	0.09455	0.033899	0.049064	0.10214	0.068864	0.062553	0.068174	0.07166	0.087823
RS_G1562__PKP1__PKP1	0.15156	0.83599	6.0682	6.0765	0.18638	0.40659	9.1236	0.19294	6.8236	7.6667	0	1.0626	1.1375	8.3043	0	7.5597	4.8379	0	4.5401	0.41271	5.5674	1.1903	1.2462	8.7949	6.8734	0.9191	0.68334	5.1307	0.77356	0
Meth__cg20345446__OSBPL5	0.3735	0.30513	0.39977	0.1196	0.45432	0.15928	0.487	0.065904	0.23599	0.79346	0.117	0.079407	0.046067	0.074235	0.051726	0.40541	0.30336	0.41197	0.3587	0.15437	0.29511	0.2807	0.57384	0.035188	0.18995	0.053581	0.17594	0.056968	0.10933	0.053195
Meth__cg19391527__PNOC	0.14887	0.048461	0.73781	0.35488	0.035851	0.19948	0.89399	0.443	0.1034	0.45685	0.56831	0.22403	0.11284	0.19048	0.033827	0.26792	0.19855	0.60304	0.88826	0.11577	0.16356	0.11121	0.045763	0.049613	0.11617	0.10822	0.1407	0.16497	0.07463	0.065023
RS_G3786__CRYAB__CRYAB	7.266	8.3291	0	2.3366	1.0408	1.6832	8.482	5.1028	5.354	7.128	0.31225	9.9378	4.6023	7.0517	3.9155	1.2213	1.0565	0.87791	7.1533	0	1.715	0.98245	4.779	4.9852	10.0216	5.8363	4.1438	2.0266	0	1.7462
RS_G12622__ENTPD3__ENTPD3	4.2057	1.6276	2.4329	2.2836	0.094504	1.3137	2.4286	0.25413	0.3192	0.97482	2.9286	0.36104	0	5.8247	0	3.3313	1.5158	0.18811	0.28822	1.9706	0.86462	0.46191	0.17393	0.98866	4.5946	0.10292	2.4856	4.1525	0	0
Meth__cg09146695__LEF1	0.070533	0.055806	0.062928	0.054207	0.81078	0.063236	0.057627	0.05299	0.050982	0.038734	0.16538	0.059044	0.057906	0.19928	0.05163	0.057019	0.10165	0.044202	0.047051	0.20767	0.075889	0.15056	0.043407	0.054221	0.052103	0.06466	0.068826	0.097543	0.072622	0.073252
Meth__cg05656364__VAMP8	0.032756	0.02462	0.03436	0.032309	0.87737	0.037741	0.020632	0.027438	0.029886	0.021282	0.056348	0.030676	0.25358	0.10565	0.75789	0.037273	0.030579	0.034231	0.021661	0.16361	0.026642	0.16447	0.83174	0.02615	0.02433	0.02251	0.07315	0.03584	0.028255	0.03151
Meth__cg04726446__MGC16372	0.5166	0.20065	0.83452	0.88331	0.89356	0.276	0.89099	0.055629	0.61343	0.78049	0.87379	0.48014	0.050844	0.091344	0.04128	0.15478	0.056118	0.075857	0.07828	0.85818	0.66336	0.85139	0.063295	0.036951	0.81636	0.64857	0.83956	0.04065	0.67102	0.84202
Meth__cg00401678__EMR3	0.35557	0.054999	0.30157	0.16115	0.11757	0.25427	0.7799	0.13043	0.49099	0.36387	0.22148	0.33759	0.58399	0.087834	0.074921	0.16299	0.17368	0.22916	0.35587	0.1069	0.13081	0.2459	0.10537	0.086848	0.072296	0.26707	0.21059	0.16778	0.20758	0.24382
Meth__cg09076077__FLJ33860	0.9135	0.095383	0.88458	0.64237	0.20871	0.74994	0.9471	0.6525	0.89522	0.80475	0.78764	0.58229	0.62779	0.19752	0.044325	0.28591	0.67228	0.89346	0.94333	0.17611	0.71059	0.91126	0.049679	0.040029	0.48567	0.84222	0.073372	0.93637	0.086513	0.0558
RS_G16898__AC073468.9__AC073468.9	2.771	6.104	3.2477	2.9543	0	0	2.1311	0	3.5396	3.5696	3.464	4.6909	0	4.557	0	3.053	1.4065	1.2126	4.682	0	2.3478	0.5494	0.55787	1.3527	4.7935	7.8208	1.3018	2.9242	2.9131	0.94339
Meth__cg26415633__KLK1	0.30214	0.032941	0.84452	0.56845	0.13461	0.20517	0.86227	0.32002	0.31383	0.79195	0.64356	0.43373	0.3614	0.051494	0.027902	0.55449	0.57178	0.15106	0.83319	0.1106	0.2306	0.20637	0.37238	0.049292	0.093793	0.54378	0.23353	0.68988	0.13359	0.2081
Meth__cg24937126__LAMB1	0.019127	0.017906	0.018387	0.018274	0.30594	0.021141	0.020592	0.02508	0.023046	0.018714	0.054947	0.14695	0.019502	0.050662	0.011857	0.022838	0.093632	0.027441	0.025467	0.88393	0.02993	0.071217	0.020822	0.020147	0.021919	0.023186	0.04724	0.3028	0.02217	0.05279
Meth__cg23001457__MRGPRX1	0.56745	0.025138	0.49503	0.22909	0.093443	0.12523	0.57016	0.040234	0.3621	0.72664	0.56755	0.087781	0.32956	0.10127	0.041804	0.072944	0.12366	0.36173	0.40613	0.0726	0.077363	0.18964	0.058205	0.54903	0.040831	0.24099	0.13333	0.54483	0.15924	0.341
Meth__cg11214889__CLUL1	0.041391	0.027944	0.038262	0.032343	0.29705	0.041673	0.023525	0.045957	0.045534	0.029415	0.059021	0.023269	0.051412	0.054623	0.88483	0.033151	0.041597	0.051926	0.033226	0.70005	0.034581	0.14515	0.049096	0.036057	0.028149	0.044546	0.079935	0.041253	0.066431	0.035939
Meth__cg00948524__RNF135	0.025061	0.064434	0.028212	0.02418	0.46966	0.040306	0.047157	0.10567	0.02759	0.079675	0.061829	0.032299	0.025079	0.054474	0.030952	0.032944	0.054691	0.13623	0.038333	0.26302	0.035023	0.10438	0.03711	0.030841	0.028373	0.027511	0.041164	0.036888	0.037101	0.48106
Meth__cg23478284__PTPN13	0.033331	0.032125	0.046718	0.03367	0.43815	0.046293	0.031672	0.045013	0.034556	0.034514	0.18796	0.11928	0.039739	0.10485	0.036535	0.023906	0.040796	0.0357	0.035962	0.12309	0.041769	0.076353	0.032498	0.042067	0.031046	0.040041	0.066781	0.046243	0.041304	0.038859
Meth__cg22473973__BNIP3	0.12549	0.20176	0.1853	0.10752	0.1145	0.15135	0.2115	0.15059	0.1984	0.70193	0.29365	0.12415	0.10587	0.16978	0.046742	0.10075	0.1081	0.14297	0.18735	0.16151	0.16259	0.13824	0.12015	0.25523	0.26876	0.1282	0.32983	0.11758	0.14227	0.17623
Meth__cg19219437__PCOLCE2	0.045632	0.080233	0.068911	0.039252	0.043332	0.19982	0.052396	0.060096	0.042415	0.038982	0.14378	0.49152	0.036364	0.11058	0.046212	0.049233	0.071252	0.49104	0.065428	0.096569	0.046201	0.51785	0.049985	0.048987	0.044371	0.32646	0.072796	0.050737	0.051113	0.057616
Meth__cg07330329__TRIM48	0.39161	0.065597	0.39617	0.12532	0.062487	0.41774	0.1816	0.080043	0.44044	0.25934	0.07149	0.077626	0.054476	0.19588	0.12098	0.125	0.15743	0.13627	0.3495	0.10679	0.18739	0.10526	0.086803	0.10317	0.036696	0.091285	0.10824	0.048917	0.21578	0.2038
Meth__cg06632528__NUDT22	0.034071	0.044609	0.033897	0.037728	0.061054	0.043034	0.027891	0.047588	0.039411	0.056631	0.08134	0.051908	0.044121	0.066222	0.033329	0.031397	0.043207	0.039208	0.033608	0.11671	0.044485	0.078657	0.03327	0.32361	0.029186	0.034271	0.054745	0.042403	0.044248	0.036726
Meth__cg16101572__ZNF219	0.044153	0.033845	0.036402	0.028014	0.039517	0.052649	0.02105	0.04451	0.038095	0.039769	0.083344	0.034722	0.036424	0.14091	0.46347	0.032222	0.041626	0.039117	0.030346	0.10375	0.044257	0.062895	0.03648	0.030063	0.026999	0.040154	0.11052	0.038721	0.047941	0.044472
RS_G3761__TRIM2__TRIM2	6.299	5.3394	2.5021	4.8596	4.3894	0	5.2157	6.6038	9.3226	5.3512	6.6069	5.0518	5.6753	6.4392	2.976	3.4948	2.0666	3.9849	4.6512	4.5953	2.8767	1.6906	2.6874	4.5541	6.3819	6.1299	4.6767	2.2026	0.11351	0.11376
Meth__cg22268164__TRHR	0.57429	0.048519	0.80406	0.60388	0.040804	0.58111	0.82198	0.041128	0.27461	0.17896	0.19433	0.10983	0.8143	0.086848	0.11223	0.024761	0.15936	0.21447	0.89483	0.55575	0.26702	0.43692	0.53143	0.27608	0.099409	0.046432	0.17304	0.038253	0.33626	0.21672
Meth__cg24130043__ZNF197	0.037681	0.043548	0.53424	0.057586	0.031716	0.050139	0.92907	0.055191	0.41337	0.078235	0.61931	0.04246	0.039985	0.098345	0.027779	0.165	0.14452	0.038566	0.19011	0.060887	0.046864	0.089291	0.036033	0.038844	0.28905	0.03514	0.14978	0.038902	0.42765	0.54838
Meth__cg20699736__VAX2	0.10919	0.22933	0.10454	0.14927	0.31776	0.43366	0.043405	0.14534	0.070087	0.059149	0.76703	0.28666	0.062309	0.069824	0.3766	0.20507	0.24149	0.079207	0.16609	0.5656	0.29541	0.72788	0.058948	0.029255	0.092611	0.79616	0.065822	0.063298	0.091466	0.40188
RS_G133__CX3CL1__CX3CL1	0.24547	6.7838	7.0627	7.822	0	0	6.7812	8.2104	6.6072	4.6676	7.3727	6.6963	6.137	9.7259	0.67937	0.15441	0.30007	5.6642	7.8818	0.075576	2.585	0.27955	0	0	9.7126	0.59899	0.094372	0.69842	0	0.22386
RS_G13648__CALB2__CALB2	7.6915	2.1737	1.662	6.2908	0	0	5.2036	5.3998	10.1444	6.1106	8.6075	8.2301	3.0522	9.9809	0.80746	0.82851	2.3077	1.4654	6.4264	2.8203	1.4489	0.55944	0.79094	2.0732	8.9452	7.127	0.38243	3.7476	2.8904	0.46928
Meth__cg17454897__ADAMTS10	0.029887	0.45737	0.11828	0.040538	0.02667	0.49444	0.020703	0.037208	0.029329	0.032059	0.32859	0.031558	0.019796	0.072041	0.057575	0.50204	0.050125	0.024989	0.025906	0.87464	0.43385	0.26283	0.036425	0.053644	0.029154	0.89445	0.055115	0.040541	0.031016	0.037564
Meth__cg11563860__CNTN4	0.83424	0.057111	0.71136	0.47753	0.61884	0.8342	0.62559	0.07344	0.82098	0.51049	0.17296	0.53723	0.35958	0.19589	0.055602	0.1294	0.3207	0.51431	0.80234	0.23269	0.063268	0.79616	0.075088	0.42325	0.080107	0.17316	0.25623	0.079894	0.80379	0.65853
Meth__cg00119079__LAMP3	0.28744	0.5045	0.13135	0.56389	0.90101	0.88932	0.10649	0.15789	0.4055	0.089097	0.19984	0.073881	0.20483	0.12892	0.31969	0.89854	0.55412	0.79131	0.27633	0.58431	0.099018	0.73079	0.085762	0.32391	0.050751	0.79494	0.060795	0.10261	0.43625	0.6593
Meth__cg25499099__TNK1	0.032652	0.027856	0.037242	0.035071	0.76598	0.049258	0.05389	0.044526	0.031275	0.0359	0.077447	0.040279	0.038973	0.13487	0.040545	0.045809	0.033799	0.052589	0.030299	0.31613	0.03894	0.082882	0.14134	0.02446	0.030605	0.02888	0.043149	0.043687	0.037916	0.045772
Meth__cg06233503__KCNQ1	0.50235	0.040818	0.91735	0.78747	0.22437	0.44312	0.87218	0.078643	0.22938	0.41458	0.30963	0.1798	0.64766	0.10217	0.047645	0.72299	0.74497	0.34008	0.81495	0.14087	0.57032	0.41648	0.053277	0.062636	0.07619	0.068347	0.2955	0.94357	0.25968	0.21335
Meth__cg19478743__CXCL16	0.057203	0.91745	0.075086	0.041705	0.56923	0.070862	0.05286	0.042442	0.08427	0.065224	0.11272	0.94058	0.076221	0.10403	0.12385	0.085743	0.075012	0.065236	0.085477	0.7835	0.056325	0.15292	0.060698	0.043761	0.035789	0.50073	0.055945	0.047076	0.047644	0.082939
Meth__cg00042156__MGC16291	0.57086	0.041955	0.84318	0.92626	0.78103	0.61532	0.86331	0.93317	0.88142	0.83943	0.1543	0.84039	0.29624	0.073244	0.72791	0.57128	0.56745	0.11916	0.9494	0.049534	0.31504	0.32168	0.7485	0.036559	0.063568	0.088962	0.72405	0.18328	0.89812	0.94495
RS_G3964__MGP__MGP	12.7444	2.1266	10.3876	13.053	10.6511	7.0869	8.0389	10.7774	3.9569	8.6133	12.1311	10.4834	4.1418	13.2784	6.112	3.7236	6.4925	6.6738	9.692	3.8402	8.314	6.6113	1.0938	9.938	8.0841	3.1152	12.988	6.25	8.1643	5.2927
Meth__cg19486271__DDB2	0.057199	0.070845	0.1925	0.085676	0.053422	0.085334	0.092194	0.077941	0.061612	0.1879	0.13882	0.059419	0.051003	0.12165	0.049285	0.052621	0.049946	0.076663	0.36682	0.084093	0.074288	0.11145	0.049324	0.046609	0.069305	0.058057	0.093632	0.061842	0.063596	0.089835
RS_G11040__RBP7__RBP7	2.5571	1.1604	2.4051	2.7369	1.2423	2.0812	5.8017	6.599	0.70929	5.6841	1.4072	1.491	3.2908	1.3599	1.9102	1.3471	3.4292	2.3221	2.4849	0.5881	2.2494	1.3534	1.8559	2.5046	1.9795	1.5544	6.9952	4.2168	2.0234	1.3543
