Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg21516287__LRRC61	0.045576	0.042584	0.073743	0.07217	0.022794	0.88647	0.026196	0.024344	0.041547	0.052231	0.023991	0.054569	0.20628	0.028482	0.056865	0.21338	0.027348	0.051925	0.026885	0.028019	0.029926	0.92029	0.15123	0.10835	0.066863	0.075771	0.14334	0.069608	0.061809	0.21087	0.66971	0.056268	0.086938	0.063521	0.04879	0.044863
Meth__cg22438810__LCN2	0.096322	0.082367	0.077039	0.91478	0.77873	0.69911	0.84289	0.12421	0.079803	0.55347	0.07845	0.060536	0.11655	0.2856	0.081367	0.091684	0.2564	0.1315	0.56287	0.88305	0.89348	0.79054	0.64329	0.87664	0.39209	0.61878	0.14833	0.20988	0.059498	0.58788	0.8106	0.6635	0.64901	0.71867	0.58609	0.68639
Meth__cg14588638__RHBDD3	0.068739	0.041831	0.061911	0.048743	0.054966	0.066318	0.051103	0.072251	0.047102	0.14992	0.043952	0.1898	0.083323	0.052516	0.058588	0.058117	0.042791	0.08818	0.030385	0.081584	0.058564	0.26518	0.08703	0.055297	0.090495	0.042015	0.071886	0.40741	0.053167	0.050316	0.049358	0.039447	0.070832	0.10338	0.040429	0.038554
Meth__cg23686014__TFPI2	0.060061	0.41559	0.58974	0.16057	0.046303	0.049021	0.31365	0.7994	0.031557	0.047166	0.726	0.054173	0.71434	0.070616	0.0429	0.81227	0.15488	0.12303	0.53971	0.18185	0.14033	0.20424	0.14544	0.057912	0.11258	0.59586	0.1683	0.037266	0.048627	0.5534	0.08949	0.90179	0.78502	0.057885	0.052924	0.13391
Meth__cg20451680__ESM1	0.037003	0.034106	0.81361	0.26275	0.058571	0.65004	0.39665	0.60197	0.03539	0.040287	0.26607	0.036502	0.44458	0.093172	0.039852	0.068104	0.045381	0.1974	0.030059	0.090307	0.057026	0.050935	0.82883	0.044645	0.048839	0.90169	0.053453	0.042288	0.042627	0.050183	0.69006	0.50923	0.073683	0.060146	0.058981	0.15398
Meth__cg12878228__PRSS1	0.52339	0.026859	0.77786	0.75599	0.60257	0.047536	0.099067	0.75639	0.76359	0.05321	0.11174	0.35661	0.68287	0.02405	0.59171	0.16955	0.42708	0.10566	0.026241	0.065838	0.14543	0.04329	0.36241	0.12768	0.020585	0.13028	0.030451	0.032823	0.075917	0.28627	0.79467	0.052673	0.083997	0.8612	0.22806	0.25576
Meth__cg27020690__TERC	0.042899	0.42765	0.048173	0.048226	0.11924	0.077345	0.069589	0.38345	0.04069	0.040525	0.62376	0.045505	0.50585	0.35738	0.053387	0.048553	0.34495	0.05583	0.032286	0.70962	0.64783	0.058442	0.10755	0.46383	0.089488	0.11629	0.065905	0.02445	0.032666	0.27504	0.2534	0.56367	0.065616	0.072848	0.55536	0.69654
Meth__cg02194878__EPHA8	0.049447	0.045806	0.11058	0.30131	0.11903	0.88647	0.45271	0.43324	0.035717	0.043226	0.33841	0.027028	0.474	0.086199	0.097307	0.046609	0.060927	0.06953	0.026264	0.9688	0.78756	0.081372	0.90994	0.3673	0.039163	0.94299	0.080982	0.15106	0.059186	0.047059	0.13932	0.48684	0.065241	0.045804	0.45058	0.10372
EA_G__ZNF738	6.4199	4.2	7.8286	7.0941	6.7008	8.1237	3.3839	3.7679	8.2316	7.9623	7.594	7.2096	5.8127	6.8361	7.6064	6.9004	6.9812	6.5093	5.8654	6.2447	6.2862	8.006	6.4364	7.0276	6.6833	6.3408	4.2731	6.615	6.4667	5.976	7.0602	4.5332	6.6024	6.8515	5.7957	5.798
EA_G__FSTL3	6.2606	6.7712	7.4701	6.6243	7.9925	8.29	6.6981	7.3862	6.3513	6.481	7.0656	6.8675	6.8262	7.524	6.3215	7.57	7.4797	6.2131	8.9828	7.7468	7.4046	9.5208	7.4653	6.6931	5.9216	7.1502	7.1409	7.4427	8.0244	8.7911	6.6813	6.5094	6.7341	6.7612	6.8778	7.3586
Meth__cg20927059__TFCP2	0.018044	0.59939	0.01838	0.049506	0.58216	0.019048	0.83873	0.014717	0.014447	0.85554	0.018258	0.011189	0.96376	0.16939	0.10783	0.021513	0.01561	0.064212	0.013298	0.97064	0.96869	0.019993	0.033934	0.23118	0.036059	0.14323	0.13696	0.016475	0.0158	0.018132	0.38603	0.022554	0.27292	0.015967	0.42399	0.94261
Meth__cg03916421__LOC132321	0.40405	0.14129	0.40222	0.7987	0.36333	0.067992	0.82485	0.91477	0.58828	0.20056	0.064751	0.63743	0.12794	0.082798	0.5582	0.07092	0.095403	0.12179	0.047896	0.60073	0.52897	0.21486	0.1439	0.22643	0.40693	0.24038	0.20545	0.91544	0.48313	0.20992	0.50572	0.08497	0.12602	0.85627	0.62423	0.56263
Meth__cg19407266__FLJ39827	0.56797	0.031621	0.039511	0.037651	0.052519	0.026917	0.04191	0.33958	0.46191	0.066355	0.031688	0.59657	0.35206	0.41099	0.42658	0.54854	0.46053	0.24478	0.035865	0.023054	0.032068	0.2104	0.12911	0.043176	0.18029	0.42651	0.22269	0.54388	0.02368	0.59806	0.032381	0.58646	0.074175	0.50256	0.36578	0.034
Meth__cg24341236__MTCP1	0.47031	0.023812	0.028471	0.037464	0.071162	0.024789	0.031663	0.26944	0.025621	0.027359	0.036051	0.043588	0.034425	0.020773	0.034388	0.45031	0.41042	0.060484	0.026029	0.020874	0.025317	0.024509	0.08364	0.026888	0.065845	0.36917	0.040748	0.54193	0.018999	0.40707	0.02329	0.26193	0.075969	0.61201	0.35161	0.031114
Meth__cg02204046__MYCN	0.59686	0.039731	0.21698	0.043936	0.03514	0.90006	0.042943	0.027354	0.032909	0.04692	0.19654	0.084374	0.444	0.03391	0.037513	0.070415	0.22004	0.21934	0.37671	0.41306	0.43284	0.05704	0.82328	0.037578	0.083631	0.12497	0.099693	0.1324	0.14908	0.12421	0.03666	0.20705	0.092355	0.039824	0.07907	0.040711
Meth__cg20695587__TMPRSS11F	0.20238	0.12043	0.11328	0.11858	0.096742	0.16994	0.09214	0.57139	0.51044	0.12716	0.69178	0.22125	0.11706	0.086827	0.37464	0.80109	0.86621	0.21065	0.10669	0.097585	0.098436	0.52217	0.76667	0.10025	0.17517	0.15465	0.1725	0.66442	0.12962	0.18842	0.097376	0.20968	0.17548	0.12786	0.138	0.093188
Meth__cg25687894__ACLY	0.039677	0.18905	0.055904	0.059105	0.055697	0.086215	0.075374	0.054265	0.0376	0.20165	0.061056	0.075339	0.40515	0.052578	0.04071	0.048151	0.18887	0.11718	0.11429	0.31244	0.084932	0.41701	0.10175	0.067483	0.10773	0.11306	0.12093	0.40117	0.04673	0.065482	0.046466	0.068683	0.068385	0.05567	0.071239	0.06853
Meth__cg24949488__DNTT	0.42372	0.096279	0.2155	0.84817	0.75592	0.08372	0.35639	0.83895	0.67981	0.66379	0.2809	0.17602	0.35968	0.097555	0.39049	0.096892	0.71303	0.16543	0.053589	0.30137	0.4392	0.060641	0.085451	0.32687	0.074141	0.20078	0.20579	0.033616	0.10259	0.032597	0.34705	0.2166	0.048182	0.83443	0.3763	0.22312
Meth__cg15107670__WT1	0.053213	0.054168	0.96065	0.17682	0.032441	0.91972	0.073532	0.90547	0.027855	0.042317	0.035896	0.060036	0.059098	0.26788	0.039876	0.53886	0.035817	0.10451	0.050362	0.92885	0.92805	0.04799	0.61239	0.65837	0.073527	0.91366	0.085809	0.036039	0.036495	0.074619	0.035605	0.50228	0.62801	0.5361	0.045836	0.05948
Meth__cg06979034__ARHGEF5	0.021493	0.01789	0.036095	0.033659	0.025289	0.50937	0.035116	0.019612	0.024432	0.030558	0.018244	0.021561	0.048558	0.021771	0.034285	0.14298	0.048964	0.059896	0.024187	0.022577	0.036807	0.093043	0.65029	0.027691	0.022867	0.046853	0.019495	0.1494	0.031689	0.34537	0.02137	0.028754	0.06999	0.01908	0.034695	0.032827
Meth__cg04959788__PTCH2	0.042444	0.068602	0.95658	0.54899	0.33578	0.92751	0.12292	0.1756	0.098101	0.038348	0.48443	0.56798	0.90924	0.49105	0.10535	0.88071	0.035067	0.053886	0.030871	0.88443	0.47983	0.049777	0.53891	0.25523	0.12807	0.87366	0.058417	0.033209	0.13111	0.037046	0.27536	0.95284	0.094375	0.045804	0.24538	0.82206
Meth__cg07836370__GLTP	0.044944	0.045083	0.049565	0.16144	0.052904	0.063889	0.059004	0.046052	0.048627	0.06761	0.041173	0.086678	0.096755	0.031665	0.061816	0.048389	0.071374	0.074576	0.40135	0.085637	0.08971	0.064575	0.083941	0.076223	0.066547	0.12398	0.059821	0.034799	0.043964	0.036111	0.26517	0.056391	0.062645	0.047005	0.057322	0.04402
Meth__cg03257423__ZNF228	0.19231	0.048723	0.044297	0.24008	0.050928	0.11711	0.25922	0.2363	0.16129	0.049112	0.34574	0.10477	0.11085	0.049055	0.13479	0.047977	0.039864	0.18199	0.060764	0.047006	0.043642	0.053586	0.10387	0.044891	0.089593	0.073371	0.056568	0.052932	0.17765	0.063105	0.090432	0.092155	0.13542	0.056549	0.051964	0.053373
Meth__cg17686885__TOM1L1	0.040621	0.50217	0.88862	0.2265	0.091196	0.64305	0.059217	0.61575	0.07488	0.062885	0.30154	0.62502	0.84488	0.076522	0.11631	0.32774	0.07878	0.17543	0.82955	0.37578	0.17563	0.52035	0.5	0.070471	0.10541	0.062608	0.31996	0.039205	0.44549	0.5052	0.2576	0.68656	0.13697	0.072017	0.23937	0.12526
Meth__cg26832142__PDE4B	0.039839	0.030698	0.91361	0.36816	0.2389	0.68915	0.89389	0.31579	0.025867	0.14514	0.7837	0.29854	0.81112	0.027118	0.026565	0.57034	0.066057	0.03924	0.039552	0.40735	0.38396	0.04727	0.7346	0.59466	0.054698	0.35789	0.10481	0.062459	0.48475	0.14725	0.73007	0.57489	0.11086	0.049226	0.46234	0.16418
Meth__cg12576145__AMMECR1	0.44308	0.031657	0.042054	0.048755	0.082143	0.038323	0.052395	0.3584	0.067821	0.26031	0.037575	0.058747	0.08672	0.032847	0.068102	0.38481	0.31284	0.12758	0.036339	0.050803	0.034284	0.1122	0.15086	0.060225	0.20653	0.32196	0.061009	0.44187	0.032475	0.12452	0.041734	0.18882	0.048482	0.48822	0.088324	0.039658
Meth__cg06273903__UBE2A	0.50876	0.030473	0.029101	0.047102	0.045873	0.037544	0.041673	0.38992	0.46559	0.03372	0.027048	0.033867	0.067118	0.042894	0.42792	0.12098	0.054444	0.080298	0.033988	0.023673	0.036364	0.045235	0.104	0.037425	0.06643	0.3778	0.05552	0.27793	0.026646	0.049258	0.052609	0.22191	0.21275	0.59511	0.2433	0.03804
Meth__cg12219915__FAM50A	0.55871	0.050038	0.89729	0.067931	0.4582	0.035161	0.061128	0.28349	0.10555	0.61074	0.038022	0.67226	0.75301	0.035385	0.11803	0.34756	0.41305	0.15385	0.065788	0.69735	0.083096	0.041691	0.10175	0.070684	0.097276	0.29997	0.11353	0.55581	0.097015	0.36217	0.036561	0.22938	0.079312	0.6315	0.17817	0.053864
EA_G__ZNF649	6.3709	5.7303	7.1386	7.6582	6.8691	6.3895	6.2774	5.297	7.2554	7.482	6.0581	6.0947	5.2195	8.6292	8.197	5.5291	7.1498	6.0276	5.5455	3.833	4.7577	3.8241	3.8653	7.6469	6.985	6.6308	5.9335	6.1333	5.7362	6.0239	6.0245	5.7814	5.9513	6.5329	5.3778	5.1546
Meth__cg20881888__ZMYND10	0.029907	0.0187	0.034666	0.4262	0.031289	0.56993	0.031474	0.030219	0.028307	0.036122	0.68542	0.51105	0.8715	0.015415	0.031063	0.05161	0.044217	0.073877	0.020707	0.23688	0.036455	0.4117	0.15812	0.036873	0.064326	0.63565	0.02877	0.018317	0.047208	0.68422	0.56163	0.13429	0.046769	0.02482	0.26196	0.6122
Meth__cg02536286__TFAP2C	0.057046	0.10656	0.12584	0.10111	0.027632	0.43197	0.061684	0.062075	0.036607	0.0471	0.049345	0.050795	0.089744	0.022143	0.049277	0.049035	0.077619	0.096714	0.30752	0.032877	0.13295	0.062473	0.082957	0.050382	0.066206	0.11163	0.10442	0.043236	0.038101	0.033828	0.035796	0.025751	0.095113	0.039606	0.040674	0.052031
Meth__cg22623062__TP53I11	0.053194	0.051507	0.061021	0.057342	0.051589	0.95357	0.071818	0.051204	0.051234	0.051114	0.049684	0.06972	0.15909	0.032805	0.05691	0.054383	0.049825	0.15144	0.045473	0.043348	0.054367	0.063315	0.88947	0.084844	0.094821	0.098742	0.094023	0.048357	0.17013	0.051821	0.056449	0.05293	0.074031	0.060272	0.058344	0.057121
Meth__cg10468369__DDX19B	0.036243	0.036599	0.039977	0.027903	0.026789	0.039084	0.044229	0.036742	0.029917	0.035603	0.035201	0.047193	0.092461	0.53254	0.031266	0.03549	0.034607	0.10231	0.040268	0.030507	0.031807	0.047953	0.21183	0.031585	0.070864	0.060775	0.099273	0.034386	0.027048	0.097572	0.16669	0.36449	0.06906	0.041441	0.029329	0.068186
Meth__cg24659201__GPR39	0.046398	0.052864	0.049185	0.051605	0.045875	0.04299	0.0621	0.023292	0.043525	0.042803	0.047064	0.036567	0.076139	0.024648	0.04051	0.040059	0.037955	0.11973	0.038494	0.041835	0.056297	0.046856	0.072497	0.045499	0.07508	0.080004	0.074822	0.040045	0.037713	0.039968	0.28732	0.045392	0.044655	0.050537	0.042328	0.056969
Meth__cg06437004__LDHB	0.71664	0.046459	0.91188	0.58354	0.4522	0.045803	0.9131	0.037061	0.031974	0.057247	0.047387	0.06485	0.56611	0.67372	0.047277	0.42439	0.038202	0.070586	0.030881	0.8885	0.89914	0.051113	0.061648	0.058185	0.13333	0.86239	0.1302	0.033337	0.044269	0.037619	0.92681	0.03705	0.48461	0.041992	0.71358	0.86612
Meth__cg22983460__SUV39H1	0.57758	0.051165	0.062381	0.056554	0.342	0.039365	0.060049	0.076256	0.56787	0.72514	0.058096	0.45065	0.34954	0.77669	0.48572	0.62748	0.079281	0.52759	0.071537	0.048946	0.064501	0.30054	0.12223	0.52612	0.32141	0.48962	0.45262	0.51034	0.069789	0.49055	0.053859	0.064834	0.1068	0.47578	0.36362	0.058496
Meth__cg26384034__C6orf117	0.46051	0.14066	0.45564	0.32301	0.068437	0.11569	0.85551	0.062951	0.037819	0.05992	0.057433	0.14639	0.23368	0.051195	0.062564	0.31775	0.12087	0.11411	0.04941	0.85894	0.84457	0.17718	0.14441	0.39308	0.067493	0.53292	0.094495	0.085158	0.048866	0.06133	0.19112	0.14514	0.088048	0.16639	0.12542	0.082299
EA_G__FBXL7	5.6889	7.1078	5.9539	7.1618	5.7541	6.953	6.1775	5.85	6.9024	5.8101	5.8503	5.6489	6.0972	6.5572	6.3102	6.167	5.6399	5.9591	8.1938	6.3315	6.2905	9.9245	5.7764	5.8079	5.5949	6.5908	7.1184	7.4256	6.0929	6.5172	6.8325	6.1773	5.9925	5.8822	5.9842	7.0652
Meth__cg06700462__PHKA2	0.53936	0.025774	0.032892	0.02037	0.29101	0.020366	0.032276	0.035646	0.032594	0.55434	0.032115	0.52365	0.47651	0.59157	0.034386	0.021725	0.03405	0.41247	0.023275	0.03034	0.02764	0.31782	0.047007	0.45939	0.44944	0.39253	0.4991	0.54043	0.02103	0.53323	0.49359	0.025242	0.057615	0.46917	0.45206	0.023999
Meth__cg10501065__IGF2AS	0.088186	0.08258	0.12678	0.14232	0.089615	0.26834	0.12455	0.1121	0.077399	0.083481	0.11879	0.10925	0.4245	0.085631	0.082381	0.10336	0.095218	0.18509	0.059584	0.43641	0.33333	0.094007	0.64647	0.49743	0.117	0.81042	0.090546	0.044077	0.058795	0.083882	0.32462	0.1832	0.13687	0.15615	0.06701	0.097475
EA_G__C11orf30	9.5224	7.6773	7.4862	8.9987	7.6623	7.6161	7.4197	7.6921	8.6373	7.9645	8.0066	7.1178	7.964	8.0287	8.0799	7.8424	7.8959	7.1154	7.6006	7.8934	7.9539	7.2381	7.6121	7.5829	7.2737	8.0072	6.8821	6.7023	7.7355	7.5515	6.8319	9.7154	8.3229	8.1211	7.2045	7.2777
Meth__cg06809565__CXorf12	0.049619	0.037475	0.046749	0.07052	0.030966	0.036239	0.058723	0.039875	0.036559	0.031626	0.067189	0.049508	0.094768	0.030723	0.045864	0.45883	0.45768	0.20566	0.046002	0.040012	0.045918	0.036836	0.11621	0.043525	0.31319	0.29901	0.10673	0.031922	0.034255	0.038352	0.051333	0.039602	0.13102	0.035176	0.041088	0.057818
Meth__cg19008809__SFMBT1	0.048727	0.05519	0.44319	0.074018	0.050377	0.25449	0.051378	0.066333	0.038637	0.04583	0.053085	0.042252	0.48829	0.034643	0.048907	0.15596	0.038894	0.12535	0.059779	0.025831	0.04505	0.80762	0.72819	0.059904	0.045474	0.10179	0.094487	0.045494	0.039766	0.059305	0.062412	0.24287	0.078519	0.047842	0.043088	0.058132
Meth__cg23547429__SLC43A3	0.015846	0.03007	0.021707	0.5699	0.67022	0.24891	0.18976	0.01504	0.021196	0.11412	0.2199	0.022272	0.035018	0.032177	0.032061	0.028379	0.02071	0.027173	0.021224	0.51436	0.68819	0.10566	0.033535	0.36659	0.045644	0.033182	0.047867	0.021132	0.02594	0.057202	0.58964	0.042823	0.032138	0.021989	0.050141	0.15638
Meth__cg26873164__SNAI1	0.047345	0.13833	0.29395	0.20388	0.083101	0.774	0.076615	0.10965	0.052494	0.064004	0.63402	0.28995	0.3935	0.03969	0.06858	0.18122	0.6087	0.20486	0.80043	0.12643	0.10051	0.55017	0.29236	0.094837	0.11353	0.093786	0.1671	0.40104	0.40105	0.18248	0.10926	0.091599	0.086283	0.084615	0.11129	0.089908
Meth__cg02046340__ZNF313	0.053671	0.035625	0.27459	0.04985	0.030803	0.090698	0.054967	0.062568	0.037698	0.045952	0.051844	0.037493	0.2344	0.041134	0.034669	0.16107	0.056945	0.11071	0.030718	0.042135	0.037207	0.041271	0.069032	0.11803	0.058196	0.19492	0.048675	0.059151	0.043669	0.061591	0.034877	0.04666	0.041197	0.045413	0.048908	0.061658
EA_G__ST14	9.3704	10.0699	9.5095	9.4025	9.5064	5.3989	8.4103	9.1952	10.6256	9.6956	8.111	9.82	10.1543	9.6138	10.002	9.6359	5.0132	9.7185	5.5207	9.0798	8.8239	5.3651	5.8956	9.328	8.803	9.6571	10.0178	5.6156	9.5955	5.7331	8.6079	8.7602	11.0696	10.1267	9.1367	9.6422
Meth__cg01626227__TRIM4	0.033758	0.025452	0.032323	0.93983	0.029868	0.024662	0.023858	0.023639	0.029236	0.025055	0.026639	0.023678	0.036466	0.017242	0.021974	0.20268	0.022787	0.077252	0.020814	0.17071	0.20569	0.030919	0.046493	0.027077	0.049041	0.044662	0.0381	0.030202	0.022382	0.028731	0.23008	0.65921	0.02556	0.024668	0.026308	0.02409
Meth__cg08604885__TRIM4	0.038462	0.022602	0.036225	0.92411	0.032267	0.038442	0.03088	0.027872	0.032513	0.036775	0.027763	0.075	0.11964	0.012138	0.0332	0.13361	0.043384	0.074588	0.11002	0.077152	0.1717	0.037991	0.043303	0.053072	0.051325	0.055192	0.048843	0.030605	0.026606	0.033019	0.12985	0.68453	0.085746	0.045621	0.039393	0.034833
Meth__cg26363196__ST6GALNAC3	0.5464	0.1073	0.81785	0.57213	0.69168	0.098884	0.81136	0.2203	0.096126	0.089716	0.082186	0.19372	0.62337	0.76835	0.094742	0.50492	0.075792	0.45659	0.091922	0.8251	0.80588	0.10792	0.61396	0.80448	0.28573	0.79127	0.11082	0.20089	0.093981	0.061878	0.53811	0.62514	0.23406	0.55357	0.81526	0.79825
Meth__cg13043509__GIMAP5	0.90812	0.020276	0.89079	0.77423	0.72687	0.15434	0.58642	0.5064	0.92601	0.67303	0.93038	0.32281	0.67326	0.016962	0.73466	0.87493	0.91521	0.19976	0.026992	0.56925	0.34928	0.044946	0.21834	0.090788	0.053406	0.28039	0.034524	0.023248	0.38193	0.033053	0.90633	0.32209	0.07185	0.50926	0.58894	0.45356
Meth__cg11653864__ELK1	0.60951	0.055439	0.071282	0.056944	0.15557	0.040749	0.069435	0.048833	0.28796	0.68671	0.064228	0.5504	0.38417	0.1859	0.24219	0.66258	0.066259	0.14169	0.052577	0.037824	0.051784	0.34032	0.24784	0.4507	0.28176	0.51721	0.10443	0.55831	0.063177	0.65625	0.060264	0.086013	0.13307	0.46722	0.061027	0.055838
Meth__cg22402007__NTRK2	0.35442	0.050988	0.44433	0.72048	0.062401	0.65553	0.045311	0.039298	0.036588	0.046151	0.46612	0.2158	0.50482	0.091457	0.046457	0.63302	0.060725	0.073082	0.04464	0.090861	0.051129	0.15992	0.54527	0.055212	0.10221	0.092345	0.11026	0.056302	0.049721	0.56301	0.056068	0.88216	0.079516	0.055408	0.20501	0.31002
Meth__cg23583739__KDELR3	0.050493	0.57089	0.057216	0.10046	0.056546	0.041348	0.69652	0.047301	0.049108	0.048226	0.044365	0.04484	0.15308	0.36345	0.052632	0.050599	0.044922	0.091523	0.036565	0.053559	0.057388	0.062081	0.15686	0.085541	0.049093	0.51243	0.25534	0.049352	0.033905	0.030807	0.22362	0.56431	0.11028	0.068311	0.19084	0.046658
Meth__cg00303548__HS6ST3	0.031044	0.015658	0.036516	0.028269	0.018552	0.3425	0.041356	0.028235	0.024516	0.036309	0.037953	0.020909	0.084408	0.025022	0.024661	0.038908	0.030124	0.037391	0.035288	0.032418	0.049931	0.0269	0.070198	0.050559	0.081592	0.05774	0.029247	0.022965	0.02732	0.032543	0.029412	0.037547	0.067436	0.057953	0.03398	0.038228
Meth__cg10061117__SORL1	0.016696	0.013689	0.74631	0.021845	0.02058	0.44619	0.021847	0.023665	0.01197	0.018013	0.081166	0.15029	0.11838	0.018924	0.01507	0.08672	0.042547	0.2004	0.01206	0.052458	0.059021	0.033392	0.83941	0.011425	0.038462	0.053218	0.020979	0.024111	0.22595	0.029946	0.23923	0.01447	0.022636	0.016701	0.01898	0.031188
Meth__cg02503850__ADAMTS14	0.10862	0.040659	0.35555	0.32747	0.16054	0.043837	0.91661	0.055249	0.025571	0.52581	0.31239	0.17183	0.53049	0.034415	0.032459	0.34492	0.036044	0.064078	0.0634	0.49843	0.58161	0.065736	0.94513	0.055457	0.08382	0.94443	0.098284	0.031221	0.10139	0.058012	0.054921	0.59689	0.048349	0.036028	0.098418	0.20912
Meth__cg21360828__CENPA	0.1967	0.085288	0.36824	0.22229	0.048972	0.533	0.31791	0.17552	0.12118	0.064301	0.13811	0.27274	0.52492	0.12022	0.10097	0.22206	0.54317	0.096748	0.063619	0.066543	0.054887	0.51381	0.69872	0.25021	0.11102	0.11729	0.11067	0.058662	0.47476	0.16302	0.099069	0.50108	0.13427	0.08476	0.081531	0.70725
Meth__cg04044684__CHFR	0.04995	0.42412	0.069051	0.11607	0.04252	0.89939	0.04607	0.12651	0.07423	0.038865	0.041684	0.1526	0.72711	0.031036	0.070666	0.19334	0.038032	0.10799	0.36815	0.038409	0.040811	0.064897	0.70976	0.058024	0.064831	0.099366	0.18874	0.034747	0.1116	0.81699	0.044138	0.18867	0.11398	0.04272	0.07824	0.2408
Meth__cg22762180__PERP	0.038065	0.050166	0.058363	0.045861	0.054812	0.37717	0.050992	0.026063	0.035773	0.050543	0.12366	0.041052	0.11214	0.034652	0.03755	0.035885	0.075398	0.04712	0.067503	0.095328	0.04282	0.17739	0.09559	0.041905	0.044971	0.13786	0.060436	0.064476	0.037387	0.042898	0.47154	0.046966	0.048658	0.045376	0.11257	0.10509
Meth__cg21332946__LIX1L	0.029688	0.018964	0.2538	0.033641	0.021481	0.027172	0.028347	0.016489	0.016066	0.026093	0.025944	0.022276	0.081342	0.031262	0.02264	0.029098	0.019344	0.15037	0.018554	0.020166	0.025793	0.03349	0.062228	0.049774	0.095163	0.071631	0.045591	0.031544	0.026369	0.033974	0.020502	0.026522	0.042651	0.029962	0.024788	0.029444
Meth__cg03437318__ERBB3	0.050226	0.054643	0.05678	0.054667	0.034696	0.85544	0.054335	0.06986	0.037298	0.046755	0.041003	0.032961	0.07826	0.033143	0.047243	0.043201	0.069554	0.078224	0.052987	0.039805	0.051718	0.46459	0.31469	0.053245	0.057412	0.095474	0.096633	0.06932	0.031851	0.05497	0.037889	0.030453	0.053162	0.043868	0.04109	0.049821
Meth__cg08108311__WNK4	0.065682	0.025472	0.97731	0.51977	0.03664	0.15725	0.038513	0.98097	0.054403	0.038284	0.037218	0.96865	0.96836	0.9804	0.42295	0.97857	0.73925	0.15596	0.97216	0.98002	0.039776	0.96749	0.94317	0.58244	0.048405	0.95082	0.10018	0.35941	0.97865	0.97644	0.18393	0.94778	0.68901	0.045993	0.76413	0.9731
Meth__cg07525077__RNASE3	0.25831	0.071873	0.62986	0.82477	0.49857	0.12416	0.19661	0.82432	0.81576	0.23729	0.53235	0.34012	0.27284	0.0867	0.63985	0.17081	0.14559	0.13533	0.14781	0.37266	0.1418	0.10877	0.11444	0.29505	0.12889	0.26944	0.12609	0.1002	0.10842	0.10534	0.88631	0.07377	0.20824	0.09771	0.37215	0.1718
EA_G__MPP7	8.0834	7.201	6.8077	7.6254	7.7941	3.5809	7.1178	6.0094	6.4583	8.069	7.0109	6.5822	6.5066	7.1208	8.1318	6.4942	4.974	6.8515	4.1343	6.835	7.312	3.4258	4.8621	7.4319	7.8872	4.7048	6.7447	3.9781	5.7979	4.8244	7.7533	5.708	8.7197	7.3438	7.4885	6.8702
EA_G__PLCB4	3.8114	7.2219	4.9135	7.2122	6.9576	6.4849	7.2256	5.1595	5.7291	4.3452	6.8313	4.8546	4.3483	6.8757	5.5328	5.9106	7.6242	5.1795	5.827	5.8226	5.5676	7.3322	3.056	6.9792	7.8846	6.7501	6.7967	5.6015	4.4626	3.7341	7.4422	7.2915	6.971	5.9617	6.9672	6.4142
EA_G__WDR32	6.688	7.0005	6.9373	6.8804	10.0989	7.6017	8.0546	7.7223	7.6852	8.427	7.466	7.6113	7.4965	7.8452	9.7947	6.7844	8.4793	8.3966	6.8673	7.0156	7.1314	7.2606	7.136	7.3108	8.0252	7.2598	7.0917	7.6321	5.6922	6.8736	8.3833	7.345	7.1693	7.718	7.6429	8.1755
Meth__cg20546002__COL23A1	0.4165	0.060723	0.31175	0.055924	0.023072	0.40581	0.367	0.36102	0.029339	0.11232	0.048376	0.033957	0.069061	0.022627	0.026355	0.03099	0.038085	0.089779	0.082558	0.074449	0.16835	0.30114	0.63993	0.039544	0.062548	0.79768	0.097485	0.024693	0.10778	0.16722	0.037001	0.77336	0.043984	0.02977	0.027064	0.042419
Meth__cg00901493__YBX2	0.035067	0.036062	0.056282	0.60146	0.055533	0.95157	0.047868	0.036085	0.04268	0.056777	0.047596	0.10758	0.090122	0.04615	0.0475	0.32026	0.10358	0.1237	0.43951	0.034767	0.055342	0.85617	0.83843	0.43328	0.053123	0.10598	0.046332	0.50119	0.085473	0.95672	0.09875	0.033836	0.076683	0.037995	0.051802	0.054314
Meth__cg18487515__ZNF342	0.031791	0.039582	0.63621	0.028261	0.035825	0.64466	0.040621	0.025668	0.033478	0.035974	0.035771	0.027136	0.13036	0.027563	0.039877	0.93579	0.027747	0.056545	0.75966	0.021764	0.042049	0.05467	0.076582	0.037155	0.048477	0.050013	0.10181	0.038096	0.03139	0.17918	0.029177	0.02961	0.056975	0.038914	0.034459	0.038648
