Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg10316381__SNX10	0.045696	0.041532	0.045158	0.050536	0.84289	0.049226	0.049896	0.036634	0.041314	0.047838	0.036284	0.085114	0.041305	0.049113	0.044935	0.061016	0.14083	0.03641	0.048294	0.28731	0.074795	0.038615	0.20982	0.043141	0.057357	0.098512	0.07882	0.034613	0.039113	0.041578	0.050691	0.036098	0.039323	0.10144	0.043427	0.041017	0.04794
Meth__cg10667970__FBXO6	0.058371	0.072257	0.7723	0.20859	0.50411	0.06959	0.31045	0.24078	0.20828	0.079133	0.34427	0.31286	0.21767	0.88446	0.13604	0.08631	0.37465	0.088949	0.097183	0.38081	0.7538	0.12278	0.29539	0.079804	0.089922	0.17173	0.32646	0.18607	0.04686	0.73693	0.10681	0.063477	0.060424	0.14501	0.11089	0.075027	0.047632
Meth__cg27352992__CNTN1	0.042816	0.035149	0.90203	0.17669	0.55338	0.91177	0.03267	0.039046	0.045571	0.91466	0.087924	0.613	0.30131	0.78699	0.38165	0.09659	0.050707	0.48573	0.53393	0.86599	0.109	0.036709	0.63095	0.047929	0.111	0.8543	0.06868	0.30876	0.041616	0.14289	0.83866	0.052234	0.79448	0.1869	0.06391	0.044901	0.31737
Meth__cg03462055__TUBB2B	0.53115	0.034674	0.97889	0.47668	0.86597	0.24352	0.53545	0.040117	0.044191	0.76671	0.068734	0.24105	0.10688	0.96423	0.050832	0.15506	0.35066	0.55685	0.19399	0.25973	0.16435	0.23001	0.92535	0.058978	0.057286	0.93699	0.13532	0.092339	0.051657	0.22761	0.22094	0.031012	0.71918	0.04955	0.041353	0.044594	0.039628
Meth__cg06745740__HGF	0.29978	0.044027	0.20516	0.59438	0.77124	0.43395	0.76494	0.76497	0.14101	0.67729	0.17938	0.66156	0.69123	0.46762	0.40309	0.14987	0.74311	0.04926	0.10446	0.77996	0.39733	0.16352	0.69808	0.25872	0.14927	0.48233	0.058748	0.098878	0.84888	0.33275	0.69128	0.048051	0.13428	0.084993	0.22309	0.21883	0.14132
Meth__cg15485859__C1orf116	0.051914	0.04523	0.60451	0.070221	0.46861	0.067868	0.10776	0.055734	0.070759	0.20135	0.26478	0.19879	0.070686	0.34061	0.86098	0.11283	0.31726	0.065925	0.10369	0.31997	0.41817	0.15334	0.83616	0.071188	0.085886	0.52881	0.093844	0.82889	0.35692	0.84192	0.35474	0.052818	0.092157	0.20738	0.15192	0.14635	0.31016
Meth__cg19560287__GEMIN5	0.026395	0.013415	0.23232	0.031814	0.48946	0.027134	0.038843	0.030714	0.028883	0.024863	0.025388	0.061813	0.022538	0.034312	0.044537	0.047754	0.014309	0.019977	0.025097	0.2124	0.077172	0.023346	0.48283	0.029586	0.027715	0.055595	0.03886	0.0732	0.024367	0.037427	0.039188	0.018341	0.016554	0.032234	0.024194	0.022013	0.032336
Meth__cg07671949__ESR1	0.087171	0.10258	0.90063	0.11318	0.69243	0.12777	0.88143	0.084904	0.098113	0.89562	0.32943	0.7984	0.12529	0.84228	0.90742	0.37754	0.3254	0.2919	0.11241	0.089628	0.67899	0.36104	0.77484	0.096199	0.25629	0.2133	0.14419	0.6613	0.69628	0.88281	0.82059	0.16406	0.8234	0.21826	0.078114	0.53734	0.35653
Meth__cg04297329__NAP1L2	0.076532	0.047949	0.816	0.099703	0.33258	0.87286	0.91096	0.22498	0.079231	0.90102	0.55696	0.23559	0.22388	0.26339	0.61411	0.093661	0.13708	0.15965	0.11463	0.77634	0.13306	0.2423	0.61687	0.21111	0.12194	0.19537	0.10928	0.11022	0.40924	0.42146	0.34655	0.05939	0.61871	0.30531	0.082182	0.13464	0.094865
Meth__cg00019495__HOP	0.065804	0.054208	0.069195	0.076923	0.77097	0.053447	0.40221	0.078713	0.085434	0.83632	0.094268	0.1004	0.064161	0.76049	0.80696	0.12057	0.15878	0.046522	0.063906	0.050172	0.4149	0.055799	0.82704	0.063696	0.08346	0.10296	0.06139	0.085053	0.12873	0.80788	0.08619	0.035855	0.13704	0.2076	0.083678	0.042567	0.046419
Meth__cg00466249__MGC15523	0.092023	0.065303	0.2403	0.071753	0.76543	0.1075	0.35207	0.37706	0.20109	0.10238	0.63695	0.43023	0.32491	0.36145	0.24243	0.083399	0.89086	0.044207	0.068353	0.41842	0.77008	0.20009	0.25636	0.06278	0.14313	0.10094	0.12175	0.32064	0.047963	0.23162	0.53284	0.095648	0.53721	0.19014	0.32812	0.086398	0.070755
Meth__cg11908570__KIAA0040	0.049462	0.024274	0.1061	0.035782	0.97303	0.099412	0.13243	0.061847	0.083369	0.084917	0.046342	0.053685	0.050801	0.059439	0.11919	0.040421	0.089779	0.038013	0.028133	0.11888	0.056793	0.12616	0.067479	0.051848	0.10286	0.090552	0.040177	0.032508	0.034294	0.040523	0.022389	0.028021	0.057534	0.042688	0.099738	0.032707	0.034706
Meth__cg06747888__TBR1	0.34451	0.14694	0.9166	0.11045	0.91287	0.10154	0.91489	0.30024	0.086213	0.87401	0.8873	0.92516	0.21282	0.89441	0.69516	0.29074	0.8852	0.073411	0.084	0.36592	0.89432	0.17871	0.80047	0.066035	0.10285	0.1454	0.13495	0.93282	0.15766	0.90857	0.62492	0.15039	0.53994	0.13363	0.11234	0.38505	0.16266
Meth__cg24371225__MGC42105	0.033896	0.071905	0.97614	0.035425	0.83156	0.055265	0.98228	0.025216	0.028904	0.13387	0.077482	0.96836	0.02793	0.97415	0.072064	0.048143	0.63021	0.026546	0.028956	0.070675	0.43743	0.16493	0.79978	0.042729	0.15431	0.95404	0.072919	0.063367	0.031444	0.31851	0.36367	0.021768	0.97798	0.30713	0.031498	0.077025	0.43057
Meth__cg19580810__RAB25	0.099988	0.050562	0.18107	0.088267	0.86798	0.089921	0.15854	0.12851	0.14805	0.8073	0.2503	0.23371	0.11588	0.21856	0.86002	0.07881	0.80537	0.088248	0.074521	0.21466	0.86245	0.06447	0.85185	0.14751	0.10558	0.078888	0.27169	0.83685	0.080202	0.84889	0.049983	0.03594	0.040285	0.078047	0.17464	0.037945	0.036921
Meth__cg16899442__C16orf25	0.082495	0.1244	0.3466	0.095671	0.66883	0.10853	0.49231	0.043255	0.12109	0.47081	0.81566	0.59193	0.057555	0.48048	0.31335	0.20298	0.5165	0.429	0.15521	0.093301	0.77176	0.1138	0.4214	0.20077	0.079649	0.14596	0.14462	0.16291	0.1658	0.46916	0.25611	0.070856	0.25579	0.12196	0.088903	0.30476	0.076523
Meth__cg07207789__CRISPLD2	0.071852	0.0416	0.032095	0.27964	0.85604	0.31603	0.85904	0.41265	0.25904	0.53911	0.71975	0.3778	0.27844	0.50834	0.91253	0.087316	0.84012	0.055578	0.18647	0.84036	0.91523	0.21688	0.81184	0.5357	0.10635	0.2125	0.085175	0.054089	0.1055	0.86498	0.86763	0.034067	0.79814	0.34204	0.35958	0.33383	0.41318
Meth__cg03218909__HAPLN2	0.087496	0.090526	0.10262	0.34629	0.133	0.10207	0.37109	0.094939	0.35276	0.22603	0.18935	0.51375	0.1018	0.2648	0.14143	0.11197	0.11957	0.10389	0.12972	0.7809	0.22241	0.12816	0.22985	0.12823	0.25443	0.13156	0.20636	0.08948	0.099825	0.11803	0.53766	0.11347	0.25872	0.14782	0.13556	0.09164	0.099238
Meth__cg18787975__CTSB	0.061756	0.054158	0.084941	0.087658	0.33631	0.086957	0.085777	0.063391	0.068095	0.053747	0.094754	0.1537	0.063129	0.13391	0.059763	0.17989	0.11513	0.059989	0.075324	0.34618	0.25662	0.058446	0.18899	0.074061	0.14197	0.13816	0.1545	0.057171	0.056574	0.087127	0.64467	0.091108	0.087091	0.076011	0.062686	0.057189	0.062166
Meth__cg09553358__BM88	0.19551	0.032216	0.18956	0.62024	0.67366	0.5422	0.92269	0.60857	0.060298	0.96309	0.91798	0.68254	0.52351	0.14619	0.92848	0.22437	0.89478	0.81504	0.76277	0.16346	0.86417	0.04737	0.88758	0.51789	0.12487	0.9519	0.05399	0.028121	0.30309	0.7356	0.64381	0.048992	0.49317	0.070658	0.054393	0.13521	0.16752
Meth__cg25938646__SLITRK1	0.83281	0.069806	0.9042	0.7862	0.94905	0.63223	0.96744	0.24779	0.22839	0.72005	0.27743	0.93399	0.28532	0.88478	0.063837	0.071051	0.62796	0.18763	0.13399	0.92181	0.43264	0.45904	0.87429	0.27104	0.032752	0.90393	0.041025	0.072214	0.59884	0.2679	0.76568	0.027814	0.89227	0.084151	0.050733	0.64263	0.48805
Meth__cg25587233__PPP2R4	0.087756	0.053871	0.31109	0.078611	0.89057	0.093173	0.70143	0.11635	0.46324	0.72419	0.88853	0.45113	0.21706	0.62916	0.7418	0.073884	0.87954	0.65737	0.59838	0.92441	0.8944	0.69998	0.75458	0.24133	0.21616	0.049626	0.11718	0.40441	0.15105	0.83843	0.33253	0.14607	0.47071	0.24486	0.22651	0.12103	0.074319
Meth__cg08158289__KIAA0141	0.065812	0.067538	0.18393	0.55398	0.33923	0.19117	0.45256	0.53794	0.2582	0.084082	0.088299	0.26432	0.41988	0.12166	0.28599	0.049604	0.19733	0.066017	0.13599	0.3351	0.60684	0.21	0.68998	0.47783	0.10313	0.25474	0.15993	0.026168	0.0316	0.76993	0.24336	0.03987	0.033058	0.03093	0.20906	0.044284	0.031018
Meth__cg22055427__P2RY1	0.048284	0.035189	0.77504	0.04356	0.32119	0.067849	0.077724	0.046603	0.16119	0.050759	0.057434	0.080084	0.060068	0.042369	0.052859	0.06693	0.065149	0.23027	0.044936	0.21616	0.056153	0.031505	0.54503	0.057148	0.082164	0.088213	0.093694	0.046352	0.038599	0.087957	0.057929	0.045005	0.039605	0.24236	0.053411	0.039008	0.052339
Meth__cg15543551__FGF12	0.042556	0.032827	0.93846	0.03568	0.80817	0.047353	0.59041	0.84859	0.039156	0.23597	0.12136	0.47012	0.65286	0.056471	0.84445	0.14796	0.10961	0.023939	0.037556	0.032461	0.53503	0.034926	0.88503	0.042761	0.09441	0.73666	0.044367	0.053389	0.051071	0.309	0.048827	0.77399	0.20572	0.038284	0.75434	0.036846	0.047725
Meth__cg18345369__PRSS22	0.032726	0.034802	0.038384	0.032551	0.6492	0.036381	0.030451	0.024067	0.034181	0.052854	0.021631	0.054597	0.028594	0.028853	0.11819	0.064471	0.10441	0.033502	0.040577	0.042888	0.93275	0.035459	0.94603	0.037314	0.046265	0.12171	0.025288	0.10469	0.039087	0.10953	0.021735	0.041775	0.020294	0.047668	0.038835	0.030151	0.034786
Meth__cg09437522__GNAS	0.025973	0.0093064	0.17219	0.021717	0.93471	0.026768	0.024996	0.028118	0.016952	0.022925	0.021692	0.02981	0.020105	0.090773	0.4106	0.034796	0.10833	0.01134	0.013943	0.41582	0.52074	0.015687	0.93211	0.02187	0.048504	0.041815	0.034373	0.048922	0.03812	0.25625	0.016562	0.013722	0.011324	0.049074	0.016555	0.026895	0.038832
Meth__cg11251858__ESR1	0.043122	0.021661	0.051909	0.040506	0.86898	0.054319	0.40646	0.033301	0.037621	0.41743	0.047859	0.48639	0.032628	0.83028	0.15516	0.065008	0.038652	0.27508	0.036017	0.035955	0.13767	0.035238	0.80311	0.035203	0.090744	0.085968	0.091545	0.04171	0.033429	0.062001	0.060344	0.028998	0.32228	0.10342	0.037232	0.04162	0.050561
Meth__cg05927017__BCL2	0.038913	0.14424	0.84461	0.038001	0.70592	0.035381	0.2235	0.052501	0.029322	0.058171	0.16514	0.17608	0.060481	0.49038	0.35395	0.14828	0.19028	0.032972	0.032799	0.035414	0.89464	0.032288	0.48174	0.037637	0.056026	0.086837	0.13467	0.039283	0.032025	0.14138	0.068674	0.030441	0.039959	0.086834	0.045231	0.034933	0.028387
Meth__cg04759439__CAST1	0.11001	0.13404	0.15365	0.12158	0.91478	0.11301	0.14707	0.095127	0.1081	0.74175	0.10827	0.12931	0.094259	0.096029	0.11257	0.13658	0.15623	0.059358	0.14899	0.10757	0.22046	0.12125	0.20026	0.13587	0.12104	0.94331	0.099325	0.11442	0.072973	0.44005	0.13799	0.14421	0.093166	0.25698	0.11686	0.12052	0.1676
Meth__cg15796941__BTBD11	0.15774	0.078033	0.91274	0.3507	0.89959	0.13236	0.28175	0.13217	0.067312	0.57902	0.073529	0.56289	0.12712	0.19079	0.18381	0.12547	0.15137	0.057253	0.14914	0.20503	0.29785	0.078304	0.87294	0.61737	0.10417	0.8727	0.073303	0.072097	0.067705	0.54297	0.060468	0.060132	0.7019	0.11538	0.066267	0.065436	0.071443
Meth__cg10951619__FAM5C	0.26611	0.056186	0.20346	0.10926	0.83588	0.1214	0.36509	0.085425	0.19165	0.32089	0.20645	0.47664	0.099781	0.56795	0.09	0.24176	0.17204	0.24914	0.19525	0.42525	0.16094	0.074318	0.59223	0.14799	0.33596	0.36968	0.1029	0.14526	0.31904	0.24864	0.71609	0.076741	0.6712	0.13338	0.063958	0.089048	0.11531
Meth__cg05989054__GAMT	0.053622	0.096064	0.58049	0.094304	0.938	0.092937	0.97686	0.093064	0.056482	0.78996	0.8594	0.61074	0.076389	0.71222	0.93312	0.26854	0.95589	0.74026	0.19151	0.058247	0.92898	0.14859	0.89647	0.14617	0.079221	0.061819	0.13506	0.49665	0.60321	0.95532	0.84564	0.11721	0.057638	0.1935	0.061422	0.064756	0.054482
Meth__cg15918284__GABRA2	0.45595	0.15203	0.8554	0.19495	0.85051	0.14431	0.8068	0.16448	0.16949	0.80545	0.76004	0.80759	0.12571	0.20732	0.39633	0.20341	0.075253	0.56961	0.16018	0.71029	0.43451	0.25594	0.77339	0.12687	0.23835	0.57914	0.22204	0.08749	0.096931	0.32074	0.90243	0.09483	0.59516	0.15628	0.12506	0.1464	0.29992
Meth__cg10226546__NFATC2	0.13682	0.074806	0.60618	0.39783	0.88973	0.15567	0.10393	0.25237	0.16795	0.82509	0.19669	0.61321	0.18656	0.27873	0.7492	0.2771	0.8454	0.091945	0.051511	0.16086	0.89691	0.066815	0.38647	0.11003	0.26394	0.75312	0.087212	0.50658	0.16447	0.88409	0.086852	0.088675	0.78513	0.15241	0.17553	0.14022	0.12496
Meth__cg07248310__HOOK1	0.056178	0.037432	0.043628	0.054967	0.86922	0.074866	0.41777	0.021745	0.062432	0.86304	0.03843	0.10755	0.042222	0.037242	0.077994	0.070103	0.15619	0.03897	0.050086	0.046723	0.05315	0.045612	0.18446	0.063604	0.059634	0.092447	0.074568	0.031195	0.032619	0.079691	0.037384	0.035707	0.034896	0.18116	0.062428	0.060689	0.049295
Meth__cg10084993__SLC9A3R2	0.086291	0.063291	0.86207	0.11748	0.9141	0.10997	0.62646	0.18127	0.23786	0.49253	0.89558	0.68785	0.18129	0.53254	0.2242	0.69926	0.11511	0.1275	0.097779	0.9361	0.82418	0.17633	0.13651	0.065763	0.094846	0.090305	0.076187	0.38633	0.082633	0.34674	0.093598	0.066262	0.13306	0.083039	0.10192	0.071443	0.10927
Meth__cg09549827__ESPN	0.045495	0.025902	0.58481	0.039914	0.91482	0.053416	0.050181	0.027012	0.03446	0.9427	0.043821	0.91137	0.030404	0.93956	0.034287	0.058604	0.077202	0.055615	0.039552	0.045334	0.032094	0.037353	0.065937	0.047689	0.052145	0.076137	0.04128	0.026362	0.026701	0.03575	0.051004	0.023607	0.030719	0.065114	0.043266	0.041128	0.03196
Meth__cg09812049__WIRE	0.023938	0.019731	0.026995	0.036766	0.062367	0.051729	0.078808	0.02462	0.029607	0.092234	0.03714	0.073303	0.032354	0.02384	0.029794	0.033848	0.021042	0.022336	0.022799	0.032191	0.048757	0.037373	0.10252	0.039059	0.042842	0.056269	0.03597	0.022326	0.023367	0.20108	0.037487	0.030814	0.027815	0.028462	0.092475	0.025206	0.027205
Meth__cg12356261__NES	0.054918	0.052309	0.75496	0.20091	0.52144	0.1757	0.66815	0.26774	0.38804	0.1365	0.64485	0.75319	0.23699	0.72665	0.76091	0.10364	0.13266	0.039576	0.063755	0.041668	0.76753	0.045433	0.059235	0.038673	0.078858	0.083031	0.07495	0.049182	0.29523	0.59285	0.24599	0.046712	0.49895	0.074279	0.044908	0.060586	0.33501
Meth__cg07246225__ZFHX1B	0.12749	0.12073	0.34029	0.15954	0.79853	0.14768	0.19675	0.16346	0.11047	0.27439	0.077033	0.21434	0.1183	0.18122	0.16417	0.29107	0.37787	0.089435	0.11782	0.24227	0.1246	0.14182	0.48441	0.13112	0.16889	0.42958	0.19287	0.095445	0.0998	0.10639	0.18964	0.08743	0.13962	0.33989	0.12643	0.14975	0.11606
Meth__cg09818732__FLJ20489	0.02806	0.017138	0.076923	0.037056	0.58179	0.031083	0.13142	0.063002	0.037696	0.063854	0.22171	0.25541	0.046568	0.051205	0.095746	0.068301	0.020227	0.022965	0.032293	0.62861	0.20839	0.045145	0.11189	0.038082	0.036495	0.051163	0.041563	0.02249	0.27622	0.071662	0.051277	0.027778	0.030331	0.035091	0.025479	0.034151	0.035593
Meth__cg22472290__ZNF577	0.06859	0.073126	0.86886	0.2369	0.24225	0.88331	0.8116	0.067315	0.8552	0.81381	0.1843	0.77333	0.32409	0.14752	0.36997	0.13903	0.41078	0.5469	0.38539	0.074612	0.1248	0.17333	0.35965	0.11922	0.090783	0.36611	0.099773	0.083447	0.38593	0.08313	0.84584	0.45769	0.14891	0.78368	0.0668	0.53998	0.40678
Meth__cg25736482__TMC4	0.077592	0.051087	0.73361	0.73013	0.91311	0.099056	0.71058	0.42703	0.49772	0.417	0.81624	0.33098	0.27978	0.32839	0.82001	0.073094	0.43358	0.21499	0.12149	0.14838	0.8953	0.20641	0.79882	0.41641	0.062643	0.67339	0.074896	0.79501	0.24056	0.34143	0.11067	0.071561	0.33862	0.095652	0.073974	0.092807	0.093068
Meth__cg21832243__TTC3	0.13711	0.23406	0.60887	0.15828	0.37517	0.15572	0.62452	0.12283	0.13416	0.2152	0.59431	0.81122	0.13027	0.82389	0.63473	0.36332	0.16294	0.13184	0.17234	0.15189	0.70032	0.088712	0.29372	0.17443	0.27817	0.14617	0.1795	0.11292	0.15256	0.19602	0.12761	0.19129	0.16153	0.13714	0.092547	0.21091	0.12703
Meth__cg18530748__SULT1A1	0.049366	0.83088	0.97725	0.062705	0.96602	0.37779	0.084202	0.036532	0.052913	0.96474	0.12372	0.17907	0.049124	0.97209	0.059178	0.090626	0.050239	0.70466	0.60277	0.21158	0.96029	0.041926	0.95169	0.040278	0.055933	0.062547	0.12508	0.14627	0.045303	0.3586	0.060289	0.038108	0.043324	0.088552	0.049755	0.058723	0.048643
Meth__cg12799835__FLJ31204	0.074972	0.036908	0.093822	0.052135	0.64925	0.08453	0.11915	0.052035	0.17094	0.17595	0.083715	0.078836	0.058803	0.051141	0.054266	0.055504	0.07855	0.039059	0.070827	0.20379	0.054815	0.025749	0.095963	0.038348	0.059843	0.24583	0.073947	0.069707	0.038801	0.070894	0.040712	0.037516	0.18095	0.09611	0.027178	0.053927	0.060354
Meth__cg22747092__BTBD14A	0.066853	0.073927	0.12421	0.1518	0.56384	0.30988	0.7968	0.27614	0.78217	0.23982	0.83994	0.42701	0.22008	0.60845	0.74513	0.31623	0.099537	0.10642	0.097232	0.52822	0.69742	0.064619	0.17587	0.1659	0.16141	0.17375	0.10307	0.092598	0.87719	0.22614	0.14464	0.045229	0.060754	0.17285	0.13433	0.052666	0.049025
Meth__cg19005368__PRRG4	0.040734	0.037949	0.052116	0.042112	0.89331	0.047416	0.31785	0.051001	0.034751	0.78426	0.039302	0.062116	0.062309	0.08515	0.058876	0.1221	0.85418	0.036115	0.048532	0.031113	0.47659	0.033379	0.87922	0.048893	0.061274	0.2197	0.072273	0.44462	0.03347	0.468	0.11974	0.028329	0.022767	0.081963	0.038464	0.034041	0.041743
Meth__cg09937039__BATF	0.052232	0.043691	0.05304	0.041803	0.35128	0.070551	0.96718	0.82424	0.048704	0.89918	0.073694	0.081862	0.63978	0.94482	0.94856	0.054771	0.30425	0.026609	0.051861	0.95396	0.91751	0.041691	0.84057	0.11645	0.085787	0.52979	0.055943	0.66511	0.95144	0.74989	0.93443	0.032702	0.27885	0.18147	0.044647	0.041622	0.0977
Meth__cg10319505__RASEF	0.032554	0.050956	0.033968	0.030579	0.3371	0.037964	0.040259	0.033299	0.03729	0.53325	0.052946	0.044266	0.038316	0.79861	0.060373	0.071304	0.86788	0.021098	0.040247	0.031526	0.13888	0.028043	0.30772	0.046326	0.066157	0.10272	0.042103	0.036387	0.02885	0.57453	0.049797	0.030744	0.026773	0.051753	0.046076	0.030581	0.066791
Meth__cg09936839__SIRT6	0.4611	0.14561	0.19984	0.75587	0.22475	0.65842	0.11625	0.83689	0.5993	0.13774	0.33164	0.1198	0.76517	0.13492	0.079099	0.25263	0.054514	0.83669	0.70172	0.6028	0.12066	0.60279	0.1536	0.83229	0.14132	0.16855	0.72798	0.15635	0.082003	0.059466	0.85906	0.11853	0.13338	0.43134	0.54018	0.31904	0.45669
Meth__cg07888234__TNFRSF11A	0.082325	0.037247	0.9539	0.19909	0.94785	0.34424	0.13052	0.33519	0.026322	0.79774	0.48552	0.31047	0.28162	0.23552	0.052932	0.23753	0.42376	0.060003	0.057391	0.27181	0.89913	0.1525	0.55884	0.088964	0.043368	0.39367	0.072829	0.031775	0.59839	0.26676	0.78968	0.033792	0.063019	0.15202	0.044876	0.20765	0.15131
Meth__cg08419026__SLCO5A1	0.033567	0.031057	0.92097	0.03648	0.29689	0.55183	0.050732	0.037964	0.038926	0.23749	0.2148	0.24427	0.041494	0.048157	0.046491	0.14707	0.048237	0.038879	0.034656	0.062482	0.040569	0.042914	0.87917	0.77985	0.10619	0.46641	0.12572	0.048319	0.037514	0.04902	0.18262	0.063553	0.11152	0.089527	0.042577	0.041345	0.22138
Meth__cg23749760__ZNF467	0.017928	0.38802	0.71881	0.20327	0.37799	0.1255	0.098107	0.026666	0.47783	0.36961	0.7039	0.66378	0.028353	0.55685	0.30662	0.16759	0.20636	0.045305	0.10726	0.0312	0.78676	0.024795	0.6145	0.026112	0.029567	0.03571	0.57419	0.12303	0.093758	0.13955	0.55579	0.090246	0.25421	0.031124	0.023288	0.057223	0.46245
Meth__cg12011267__PPP1R13B	0.044489	0.052706	0.19416	0.1308	0.55522	0.085696	0.050769	0.50485	0.079073	0.46166	0.056948	0.42586	0.4672	0.24814	0.083348	0.069399	0.068321	0.066443	0.21382	0.14583	0.68563	0.087015	0.69243	0.58314	0.10129	0.62519	0.059984	0.058617	0.037615	0.54497	0.071287	0.042247	0.039981	0.11904	0.039075	0.040707	0.04314
Meth__cg20234170__CAT	0.097072	0.31049	0.1058	0.49256	0.093791	0.41623	0.094832	0.44793	0.12217	0.080446	0.20726	0.25549	0.43682	0.070522	0.086607	0.23218	0.053537	0.23668	0.30804	0.25148	0.091547	0.28696	0.1139	0.57533	0.19708	0.29293	0.19389	0.17461	0.052664	0.071957	0.69086	0.1401	0.14671	0.14249	0.28713	0.65192	0.64296
Meth__cg24113449__ADRBK2	0.21043	0.069616	0.79306	0.10117	0.47439	0.24466	0.18162	0.11687	0.27612	0.23964	0.25736	0.58738	0.078615	0.079743	0.25053	0.194	0.29438	0.23991	0.20666	0.14256	0.11866	0.28209	0.70258	0.056541	0.09265	0.53603	0.13028	0.041012	0.05483	0.099169	0.2427	0.060012	0.39361	0.15232	0.25418	0.068955	0.044483
Meth__cg15856055__ZNF511	0.10907	0.076625	0.45662	0.2137	0.75434	0.13097	0.1839	0.10692	0.11932	0.12576	0.48033	0.19231	0.087463	0.14645	0.41767	0.1078	0.50479	0.071195	0.093719	0.15988	0.42259	0.25448	0.41294	0.091023	0.14201	0.12438	0.18684	0.10969	0.13865	0.2977	0.088975	0.073179	0.073964	0.097943	0.25554	0.059835	0.09375
Meth__cg16896647__SYK	0.072898	0.48735	0.43435	0.085575	0.84097	0.12443	0.27077	0.078088	0.07859	0.64417	0.20749	0.12465	0.09316	0.069591	0.34136	0.1777	0.079736	0.068824	0.074584	0.39353	0.16972	0.067703	0.77392	0.065318	0.048418	0.31739	0.22521	0.074038	0.36683	0.14139	0.19789	0.058953	0.071548	0.08991	0.050745	0.15692	0.10775
Meth__cg04384398__PMM1	0.48314	0.10346	0.10822	0.22334	0.1037	0.11937	0.067889	0.14876	0.17394	0.10641	0.28099	0.21155	0.11536	0.17215	0.058596	0.22008	0.11243	0.13149	0.15339	0.080636	0.1097	0.14288	0.15127	0.66434	0.15043	0.10964	0.14525	0.12365	0.1144	0.14811	0.21443	0.063595	0.093929	0.26289	0.15776	0.17906	0.17426
Meth__cg19728223__KCNQ1	0.53619	0.066579	0.97278	0.37766	0.95879	0.30162	0.25107	0.040308	0.056907	0.96505	0.35107	0.91822	0.065382	0.90184	0.66419	0.080707	0.058996	0.54547	0.55107	0.59162	0.95746	0.57096	0.93214	0.10412	0.054025	0.58267	0.095298	0.31748	0.074898	0.60165	0.28943	0.035782	0.58632	0.082597	0.05511	0.15424	0.77228
Meth__cg10163825__C16orf25	0.046491	0.082308	0.92063	0.084318	0.97072	0.072378	0.91759	0.12447	0.090737	0.91888	0.96899	0.6019	0.12425	0.79994	0.49011	0.30667	0.94158	0.57551	0.070051	0.044089	0.94714	0.12942	0.80063	0.3139	0.06418	0.10541	0.1375	0.26326	0.19038	0.45243	0.48138	0.24411	0.81978	0.086415	0.047196	0.33991	0.052637
Meth__cg00275232__ZNF342	0.031245	0.034471	0.7953	0.045394	0.80101	0.044311	0.046787	0.033056	0.044594	0.053148	0.077469	0.12549	0.033401	0.97991	0.030112	0.039057	0.79469	0.040627	0.042466	0.035558	0.078734	0.028188	0.13538	0.052811	0.080534	0.1139	0.061898	0.02891	0.040676	0.070088	0.035127	0.022306	0.02493	0.17663	0.037485	0.03191	0.050843
Meth__cg17602451__BCL2	0.063162	0.035492	0.95173	0.055695	0.95404	0.070302	0.14865	0.21232	0.038886	0.93365	0.79234	0.74046	0.21557	0.63814	0.27776	0.755	0.4052	0.034002	0.046118	0.038418	0.94636	0.10622	0.90867	0.054939	0.094513	0.93449	0.1315	0.40849	0.21134	0.57873	0.50248	0.69178	0.94823	0.16002	0.61579	0.047757	0.042401
Meth__cg17465304__KIF12	0.076488	0.12585	0.89961	0.35968	0.90772	0.101	0.92456	0.90356	0.06515	0.80634	0.82575	0.84128	0.74332	0.90833	0.9054	0.34254	0.91412	0.16997	0.51638	0.30287	0.87694	0.1588	0.87546	0.076816	0.14139	0.86528	0.2133	0.65889	0.90596	0.90818	0.44074	0.077404	0.081987	0.17891	0.087144	0.57335	0.2071
Meth__cg20664247__PEX10	0.064539	0.059478	0.67769	0.21777	0.35184	0.4869	0.052377	0.038425	0.28743	0.15793	0.92684	0.6296	0.040683	0.14339	0.095374	0.084277	0.090426	0.092295	0.045956	0.13166	0.6908	0.25751	0.042902	0.30314	0.06198	0.089155	0.12693	0.032914	0.11006	0.42352	0.16033	0.51825	0.20872	0.090155	0.12936	0.043837	0.023575
Meth__cg18741908__GPR160	0.075319	0.84244	0.93466	0.085241	0.93552	0.052124	0.94912	0.90971	0.18438	0.93038	0.91264	0.90712	0.68542	0.90866	0.43875	0.62647	0.82401	0.2589	0.11016	0.10409	0.70097	0.26157	0.81946	0.058425	0.063511	0.085463	0.58107	0.049705	0.57342	0.93073	0.33599	0.88935	0.046021	0.10083	0.08458	0.22008	0.43337
